Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Thoracic Rotation (Seated),60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,12-8,7-6,15-30 sec,Improves spinal mobility and reduces upper back stiffness,"1. Sit upright on a chair with feet flat and hands behind your head or crossed over your chest.
2. Rotate your upper torso to the right while keeping your hips and pelvis facing forward.
3. Pause briefly at the end range and feel the rotation through your chest and upper back.
4. Return to center and rotate your upper torso to the left with controlled movement.",Sit tall and rotate from the upper back while keeping the core engaged,2.2,,Thoracic stiffness (upper-back rigidity),Warm up
Wall Calf Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,20-30,7-6,15-30 sec,Enhances calf flexibility and ankle range of motion,"1. Stand facing a wall and place hands on it at shoulder height.
2. Step one foot back and keep that heel flat on the floor.
3. Bend the front knee and lean forward until you feel a stretch in the back calf.
4. Hold the position, then switch legs and repeat.",Keep front knee slightly bent and press the back heel into the floor,4,,Ankle pain,Cooldown
Heel Raises (Holding Support),60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,20-12,8-7,45-60 sec,Improves calf strength and promotes ankle stability for walking,"1. Stand tall facing a stable support and hold it lightly with one or both hands.
2. Place feet hip-width apart and distribute weight evenly.
3. Rise onto your toes by lifting both heels as high as possible while keeping knees soft.
4. Lower your heels back down with control and repeat.",Rise slowly through the balls of the feet and control the descent,4,,Foot pain (plantar fasciitis / heel pain),Main workout
Seated Torso Twist,All Ages,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,15-10,7-6,30-45 sec,Enhances core mobility and gentle rotational control,"1. Sit upright on the floor with knees bent and feet flat hip-width apart.
2. Place hands behind your head or cross them over your chest.
3. Rotate your torso to the right while keeping your hips facing forward.
4. Return to center, rotate to the left, and repeat.",Keep chest lifted and rotate from the mid back without collapsing forward,2.5,,Lower back pain (non-specific),
Weight Shifts (Wide Stance),40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,12-10,7-6,30-45 sec,Improves lower body stability and lateral weight distribution control,"1. Stand with feet wider than hip-width and toes pointing forward.
2. Shift your weight smoothly onto your left foot while keeping knees soft.
3. Transfer your weight to the right foot by pushing through the ball of the left foot.
4. Alternate sides in a controlled rhythm for several repetitions.",Keep chest lifted and shift smoothly without rotating the spine,2.6,,Limited single-leg balance,Main workout
Bird-Dog (Hands & Knees),All Ages,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,3,12-8,8-6,45-60 sec,Enhances core stability and coordination between limbs,"1. Start on hands and knees with shoulders over wrists and hips over knees.
2. Extend your right arm forward and left leg back until your body forms a straight line.
3. Hold briefly while keeping your torso steady and hips level.
4. Return to the start and repeat on the opposite side, alternating sides.",Brace the core and extend opposite arm and leg slowly while keeping hips level,3,,Reduced core stability,Main workout
Heel-to-Toe Walk (Wall Support),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,20-10,7-6,30-45 sec,Improves balance and proprioceptive awareness during slow gait practice,"1. Stand beside a wall and lightly touch it with one hand for balance.
2. Place your right heel directly in front of your left toes so the heel touches the toe.
3. Take slow, deliberate steps forward while using the wall lightly for support.","Stand tall, look forward, and place each heel directly in front of the toe",4,,Limited single-leg balance,Main workout
"High Knees (Slow, Holding Support)",40-59,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,8-7,60-90 sec,Elevates heart rate gently while challenging hip flexor strength,"1. Stand facing a sturdy support and place hands lightly on it.
2. Lift your right knee slowly to hip level while keeping your back straight.
3. Lower the right knee and lift the left knee with the same slow, controlled motion.
4. Continue alternating knees slowly while keeping light contact with the support.","Lift knees with control, keep the torso upright, and breathe evenly",5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism",Limited single-leg balance,
Wall Sit,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,30-60,8-7,60-90 sec,Builds quadriceps endurance and enhances lower body isometric strength,"1. Stand with your back against a wall and feet hip-width apart.
2. Slide down until your thighs are parallel to the floor and knees align over ankles.
3. Hold the position and keep hands relaxed at your sides.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease",Knee pain (general / chronic),Main workout
Quadruped Arm Lift,All Ages,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,12-8,7-6,30-45 sec,Enhances core stability and improves unilateral shoulder control,"1. Start on hands and knees with wrists under shoulders and knees under hips.
2. Extend your right arm forward to shoulder height while keeping hips square.
3. Lower the right arm and then extend the left arm forward to shoulder height.
4. Alternate arms with controlled movements and keep a neutral spine.",Maintain a neutral spine and lift the arm without rotating the hips,2.8,,Reduced core stability,
Standing Jacks (No Jump),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Raises heart rate gently and improves coordination and mobility,"1. Stand tall with feet together and arms at your sides.
2. Step your right foot out to the side while sweeping both arms overhead until hands meet.
3. Step your right foot back to center while lowering both arms to your sides.
4. Repeat by stepping your left foot out and continue alternating smoothly.",Maintain controlled movement and proper alignment throughout,4,,Limited single-leg balance,
Hip Circles (Supported),40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,15-10,7-6,30-45 sec,Increases hip mobility and promotes controlled hip joint range of motion,"1. Stand with feet hip-width apart and place one hand on a stable surface for support.
2. Shift your weight onto the supporting leg and lift the opposite knee slightly.
3. Move the lifted knee in slow circular motions from the hip.
4. Reverse the circle direction and then switch sides.",Keep hips level and perform slow controlled circles without shifting the torso,4,,Hip stiffness / limited hip mobility,
Overhead Triceps Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,20-30,7-6,15-30 sec,Improves triceps flexibility and enhances shoulder overhead range of motion,"1. Stand tall and raise one arm overhead, bending the elbow so the hand reaches toward the upper back.
2. Reach the opposite hand up to gently press the bent elbow downward.
3. Hold the stretch, then release and switch arms.",Keep the shoulder blade down and back while reaching the elbow overhead,2,,Limited overhead reach,Cooldown
Incline Push-Ups,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Develops upper body pushing strength with reduced joint load,"1. Place hands on a stable elevated surface shoulder-width apart and extend your legs back.
2. Keep your body in a straight line from head to heels.
3. Bend your elbows to lower your chest toward the surface until your elbows are about 90 degrees.
4. Push through your hands to straighten your arms and return to the starting position.",Maintain a straight line from head to heels and lower with controlled descent,4,,Shoulder pain (general),Main workout
Rock the Boat (Supported),40-59,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,3,15-10,7-6,30-60 sec,Challenges core stability and improves seated balance control,"1. Sit on the floor with knees bent, feet flat, and hands placed behind you on the floor for support.
2. Lean back slightly to engage your core and lift your feet a few inches or keep them on the floor if needed.
3. Use your core to rock your torso backward and forward in a controlled motion while keeping your spine neutral.
4. Continue rocking with steady, controlled movements.",Keep a neutral spine and move from the core without letting the ribs flare,4,,Reduced core stability,Main workout
Butt Kicks (Standing Supported),All Ages,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Promotes hamstring activation and increases lower body dynamic flexibility,"1. Stand tall facing a stable surface and lightly hold it with one or both hands for balance.
2. Shift your weight onto one leg and bend the opposite knee, bringing the heel toward your glutes.
3. Quickly alternate legs, driving each heel toward the glutes in a rhythmic motion.
4. Maintain an upright posture and steady breathing throughout.",Stand tall holding support and kick the heel toward the glute with controlled motion,4.5,,Knee pain (general / chronic),
Scapular Retractions,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-12,7-6,30-60 sec,Strengthens scapular muscles and supports improved upper back posture,"1. Sit or stand tall with a neutral spine and arms relaxed by your sides.
2. Draw your shoulder blades straight back and down as if pinching a pencil between them.
3. Hold the squeeze for two seconds while keeping your neck relaxed.
4. Slowly release to the starting position and repeat.",Pull the shoulder blades down and together without shrugging the shoulders,2.8,,Poor posture (rounded shoulders / forward head),
Side Lying Leg Lift,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,15-12,7-6,30-60 sec,Strengthens hip abductors and outer thigh muscles,"1. Lie on your side with legs stacked and head supported by your hand.
2. Keep your hips stacked and lift the top leg upward to about 45 degrees with control.
3. Lower the leg slowly to the starting position and repeat.",Stack your hips and brace the core to prevent rolling,2.5,,Hip pain,Main workout
Clock Reach (Supported),60+,Weight Maintenance,Balance & Stability,Upper,Bodyweight,Beginner,3,12-8,8-6,30-60 sec,Improves shoulder mobility and coordinated reach control while maintaining balance,"1. Stand beside a wall or stable surface and place one hand on it at hip height for support.
2. Keep your torso upright and reach forward with the opposite hand to the 12 o'clock position.
3. Move the reaching hand in small controlled arcs to nearby clock positions while keeping the support hand steady.
4. Return the reaching hand to your side and switch sides.",Keep a tall spine and reach with control from your supporting hand,4,,Limited single-leg balance,Main workout
Cross-Body Punches (Standing),40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,20-12,8-7,30-45 sec,Enhances shoulder endurance and core rotational stability,"1. Stand with feet hip-width apart and knees slightly bent.
2. Raise both hands in loose fists at chest height.
3. Rotate your torso and extend your right arm across the body, snapping the fist toward the opposite shoulder.
4. Return hands to guard and repeat the movement on the left with controlled, rhythmic punches.",Rotate through the torso and keep the core braced during each punch,3.5,,Rotator cuff weakness / instability,
Seated Spinal Twist,All Ages,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,2,3-2,7-6,30-60 sec,Promotes spinal mobility and improves torso flexibility,"1. Sit tall on the floor with legs extended and hands beside your hips.
2. Bend your right knee and place your right foot outside your left thigh.
3. Inhale to lengthen the spine and exhale to twist your torso to the right, placing your left elbow outside your right knee.","Sit tall, lengthen the spine, and initiate the twist from the mid back",4,,Lower back pain (non-specific),
Seated Fast Feet,All Ages,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,3,3-2,7-6,30-60 sec,Enhances single leg balance and ankle stability with supported alignment,"1. Sit on the floor with knees bent and heels hovering a few inches off the ground.
2. Quickly alternate tapping each foot lightly to the floor while keeping the other heel lifted.
3. Maintain an upright posture and a fast, steady rhythm with your core engaged.",Maintain controlled movement and proper alignment throughout,4,Hypertension,Ankle pain,
Standing Side Bend,40-59,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Promotes pelvic mobility and encourages gentle core muscle activation,"1. Stand tall with feet hip-width apart and arms by your sides.
2. Reach your right arm overhead and place your left hand on your hip.
3. Bend your torso to the right side, keeping hips facing forward.
4. Return to center, switch sides, and repeat.",Tilt from the pelvis with slow controlled breaths and avoid thrusting the hips,2,,Lower back pain (non-specific),
Marching on Spot (Wide Base),60+,Weight Gain,Cardio,Lower,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Enhances scapular stability and upper back muscle endurance,"1. Stand with feet wider than hip-width and knees soft.
2. Engage your core and lift your right knee toward your chest while swinging your left arm.
3. Lower your right foot and lift your left knee while swinging your right arm.
4. Continue alternating at a steady pace while keeping an upright posture.",Keep neck neutral and lift through the shoulder blades with controlled motion,2.5,,Limited single-leg balance,
Supine Heel Taps,60+,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,3,15-10,8-7,45-60 sec,Builds quadriceps strength and enhances knee joint control,"1. Lie on your back with knees bent, feet flat, and arms by your sides.
2. Lift your head and shoulders slightly and reach your right hand toward your right heel.
3. Return to center and reach your left hand toward your left heel.
4. Continue alternating while keeping your lower back on the floor.",Extend the leg slowly keeping the knee soft and core braced,2.5,,Reduced core stability,
Reverse Lunges (Assisted),All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Activates core muscles and enhances pelvic stability,"1. For Reverse Lunges (Assisted), stand tall with feet hip-width apart and place hands on hips for balance.
2. Step your right foot straight back and lower your back knee toward the floor until both knees are bent about 90 degrees.
3. Press through the left heel and engage your glutes to return to standing.
4. Repeat by stepping the left foot back and alternate sides with controlled motion.",Keep lower back grounded and hinge from the hips for slow controlled heel taps,2.5,Sleep Apnea,Knee pain (general / chronic),Main workout
Low Impact Skaters,40-59,Weight Gain,Cardio,Lower,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Builds lower body strength and balance with assisted support,"1. For Low Impact Skaters, stand with feet hip-width apart and knees slightly bent.
2. Step your right foot diagonally behind your left while sweeping your left foot to the side.
3. Shift your weight onto the left foot and push off to bring the right foot back to center.
4. Continue alternating sides with smooth, controlled lateral steps and maintain a soft knee.",Maintain controlled movement and proper alignment throughout,3,,Limited single-leg balance,
Open Book Stretch,All Ages,Weight Loss,Flexibility / Stretching,Core,Bodyweight,Beginner,3,16-12,8-7,45-60 sec,Improves lateral power and cardiovascular fitness with low joint impact,"1. For the Open Book Stretch, lie on your side with knees bent and both arms extended in front of you.
2. Keep your hips steady and rotate your top arm across your chest, turning your head to follow the hand.
3. Return the arm to the start position and repeat before switching sides.",Land softly with knees slightly bent and drive lateral movement from the hips,4.5,,Thoracic stiffness (upper-back rigidity),Cooldown
Supine Figure Four,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,10-8,7-6,15-30 sec,Increases thoracic rotation and shoulder mobility,"1. Lie on your back with knees bent and feet flat on the floor.
2. Cross your right ankle over your left thigh just above the knee.
3. Thread your hands behind your left thigh and pull the left knee gently toward your chest.
4. Hold the position, then release and repeat on the opposite side.",Keep hips stacked and rotate through the thoracic spine with slow controlled breathing,4,,Hip stiffness / limited hip mobility,
Tree Pose (Low),40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,10-8,7-6,15-30 sec,Stretches hip external rotators and reduces glute tightness,"1. Stand tall on your left foot with core engaged and shoulders relaxed.
2. Place the sole of your right foot against your inner left calf or ankle, avoiding the knee.
3. Bring your hands to your chest or hips and press the foot into the leg to maintain balance.",Maintain controlled movement and proper alignment throughout,4,,Limited single-leg balance,Main workout
Wall Press (Isometric),All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Improves single leg balance and ankle stability,"1. Stand facing a wall and place both palms flat on the wall at chest height.
2. Step your feet back so your body forms a slight lean and your core is engaged.
3. Press your palms into the wall as hard as you can without allowing movement.
4. Maintain steady tension and keep breathing while holding the press.",Maintain controlled movement and proper alignment throughout,2,Hypertension,Rotator cuff weakness / instability,Main workout
Standing Cross-Crawl,60+,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,3,15-10,8-6,30-60 sec,Builds upper body strength and shoulder stability through isometric activation,"1. Stand with feet hip-width apart and knees slightly bent.
2. Lift your right knee and reach your left elbow toward it while keeping your torso tall.
3. Return to standing and lift your left knee while reaching your right elbow.
4. Continue alternating in a steady rhythm.",Brace core and press evenly through both palms keeping spine neutral,2.5,"Hypertension, Coronary Artery Disease",Limited single-leg balance,Main workout
Thread the Needle,40-59,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,2,20-12,7-6,30-45 sec,Enhances cross-body coordination and motor pattern integration for improved balance,"1. Start on hands and knees with wrists under shoulders and knees under hips.
2. Reach your right arm up toward the ceiling while keeping your hips square.
3. Slide your right arm under your left arm and lower your right shoulder and ear toward the floor.
4. Reverse the movement to return to start and repeat on the other side.",Stand tall and move opposite arm and leg with controlled rhythm,3.5,,Thoracic stiffness (upper-back rigidity),
Walking the Line,40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,3,12-8,7-6,30-60 sec,Promotes hip extension range of motion and quadriceps lengthening,"1. Stand tall with one foot directly in front of the other, heel touching toe on an imaginary line.
2. Shift weight onto the front foot and lift the back foot, placing its heel directly in front of the toes of the other foot.
3. Continue walking forward along the line with slow, controlled steps and a steady gaze.",Posteriorly tilt the pelvis and gently shift hips forward while keeping torso upright,4,,Limited single-leg balance,Main workout
Prone W-Raises,60+,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,2,20-30,7-6,30-45 sec,Enhances ankle stability and dynamic balance during gait,"1. Lie face down with forehead on the floor and arms bent so hands are near your ears forming a W shape.
2. Keep your neck neutral and squeeze your shoulder blades together.
3. Lift your hands, forearms, and upper chest a few inches off the floor while keeping the W shape.
4. Hold briefly then lower with control and repeat.",Maintain controlled movement and proper alignment throughout,3,,Rotator cuff weakness / instability,Main workout
Front Kicks (Low),All Ages,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,8-6,45-60 sec,Strengthens scapular retractors and improves shoulder posture and stability,"1. Stand tall with feet hip-width apart and hands up near your chest for balance.
2. Shift weight onto one leg and lift the other knee slightly with the foot flexed.
3. Snap the elevated leg forward in a controlled low kick, then return the foot to the floor and repeat.",Keep neck neutral and squeeze shoulder blades down and together as you lift,2,,Limited single-leg balance,
Scapular Push-Ups (Wall),40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-12,8-6,30-45 sec,Improves hip flexor power and dynamic balance while enhancing coordination,"1. Stand facing a wall and place both palms flat at chest height with arms straight and shoulder-width apart.
2. Step back so your body forms a straight line from head to heels and keep your core engaged.
3. Without bending your elbows, pinch your shoulder blades together to move your chest slightly toward the wall.
4. Push through your palms to spread your shoulder blades and move your chest away, performing controlled repetitions.",Brace core and extend the kicking leg with control without leaning back,2.5,,Poor posture (rounded shoulders / forward head),
Puppy Dog Pose,60+,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,3,20-12,8-6,45-60 sec,Improves scapular control and shoulder stability through controlled protraction and retraction,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Walk your hands forward and lower your chest toward the floor while keeping your hips above your knees.
3. Rest your forehead on the mat and relax your shoulders while lengthening the spine.
4. Walk your hands back toward your knees to return to hands and knees.",Keep arms straight and move only through the scapula by protracting and retracting with control,2,,Thoracic stiffness (upper-back rigidity),
Single Leg RDL (Assisted),All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,2,12-8,7-6,30-60 sec,Promotes thoracic extension and shoulder mobility while gently opening the chest,"1. Stand tall facing a sturdy surface and place one hand on it for balance; shift weight to one leg.
2. Hinge at the hips and lift the free leg straight behind you while keeping a slight bend in the standing knee and a neutral spine.
3. Lower your torso until you feel a stretch in the standing hamstring, keeping hips square and the supporting hand light on the surface.
4. Drive through the standing heel to return upright and repeat, then switch sides.",Keep hips stacked above knees and reach forward while maintaining a long neutral spine,4,"Hypertension, Coronary Artery Disease",Limited single-leg balance,Main workout
Standing Hip Extension,40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Develops single leg posterior chain strength and balance with improved hip hinge mechanics,"1. Stand tall with feet hip-width apart and place hands on a wall or chair for balance if needed.
2. Brace your core and lift one leg straight back by squeezing the glute, keeping the knee straight and toes pointed down.
3. Keep your hips level and avoid arching your lower back while lifting the leg.
4. Lower the leg with control to the starting position and repeat, then switch sides.",Maintain controlled movement and proper alignment throughout,3,,Hip stiffness / limited hip mobility,
Side Step Arm Swings,60+,Weight Gain,Activation/Mobility,Full,Bodyweight,Beginner,3,15-10,7-6,30-45 sec,Strengthens glutes and enhances posterior chain activation,"1. Stand with feet hip-width apart and arms relaxed at your sides.
2. Take a controlled step to the right and swing both arms across your chest.
3. Step back to center and swing your arms outward to shoulder height.
4. Repeat the side step to the left and continue alternating steps and arm swings.",Keep hips square and hinge from the glutes with a neutral spine,2.8,,Limited shoulder range of motion,
Seated Thoracic Extension,All Ages,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,2,15-20,7-6,30-45 sec,Improves lateral coordination and shoulder mobility,"1. Sit tall on a chair with feet flat and hands clasped behind your head.
2. Pull your elbows back and lift your chest to create space across the upper back.
3. Gently arch your upper spine while keeping your lower back stable.
4. Return to upright and repeat the controlled extension movements.",Maintain an upright chest and control the arm swing with your core,3.2,,Thoracic stiffness (upper-back rigidity),
Triceps Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,12-8,7-6,30-60 sec,Enhances upper back mobility and posture,"1. Stand tall and raise your right arm overhead, bending the elbow so your hand reaches your upper back.
2. Use your left hand to grasp your right elbow and gently pull it toward your head.
3. Hold the stretch briefly, then switch arms and repeat.",Sit tall and open the chest while initiating movement from the upper back,2,,Limited shoulder range of motion,Cooldown
Warrior III (Wall Support),60+,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,2,12-10,7-6,30-60 sec,Increases elbow and triceps flexibility,"1. Stand facing a wall about an arm's length away.
2. Place fingertips on the wall at shoulder height and shift weight onto one foot.
3. Hinge forward from the hips and lift the other leg back until your torso and lifted leg form a straight line.
4. Hold the position briefly, keep hips square, then lower the lifted leg and switch sides.",Keep the neck long and pull the elbow gently toward the head without forcing,4,,Limited single-leg balance | Reduced core stability,Main workout
Overhead Reaches (Alternating),40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,8-7,60-90 sec,Improves core engagement and shoulder endurance,"1. Stand tall with feet hip-width apart.
2. Raise your right arm overhead and reach toward the left side while keeping hips facing forward.
3. Return to center and lower the arm, then raise your left arm and reach toward the right side.
4. Continue alternating reaches smoothly.",Brace the core and keep a straight line from knees to head,2.5,"Hypertension, Coronary Artery Disease",Limited overhead reach,
Wrist Circles,60+,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,2,16-12,7-6,30-45 sec,Promotes shoulder range of motion and spinal elongation,"1. Sit or stand with elbows bent and forearms extended in front of you.
2. Make light fists and rotate both wrists clockwise for several slow circles.
3. Reverse direction and rotate wrists counterclockwise for several slow circles.",Exhale as you reach up and avoid overarching the lower back,3,,Wrist pain / limited wrist mobility,
Happy Baby (Modified),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,15-20,7-6,30-45 sec,Enhances wrist mobility and joint lubrication,"1. Lie on your back with knees bent and feet toward the ceiling.
2. Reach both hands behind your thighs or shins and hold firmly.
3. Gently pull your knees toward your armpits while keeping your lower back on the floor.
4. Hold the position, then lower your feet to the floor to release.",Move slowly through the full range and control the motion from the wrist,4,,Hip stiffness / limited hip mobility,
Standing Knee Hold,40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,2,12-8,7-6,30-60 sec,Opens hips and encourages gentle lower back relaxation,"1. Stand tall with feet hip-width apart.
2. Lift one knee toward your chest and wrap both hands around the shin or knee.
3. Pull the knee gently toward your chest while keeping the standing leg slightly bent.
4. Hold your balance, then lower the foot and repeat on the other side.",Keep the lower back gently grounded and move with controlled breaths,2,,Limited single-leg balance,Main workout
Sumo Squat,60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Improves hip flexor control and dynamic balance,"1. Stand with feet wider than shoulder-width and toes turned out.
2. Hinge at the hips and bend your knees, lowering your hips toward the floor.
3. Keep your chest lifted and your knees tracking over your toes.
4. Press through your heels to return to standing.",Maintain controlled movement and proper alignment throughout,2.6,"Hypertension, Coronary Artery Disease",Hip stiffness / limited hip mobility,Main workout
Speed Bag Motion,All Ages,Weight Gain,Cardio,Upper,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Targets inner thighs and glutes to strengthen lower body,"1. Stand with feet shoulder-width apart and knees soft.
2. Raise hands to chin level and keep elbows tucked.
3. Rotate wrists to push hands forward and tap an imaginary speed bag alternately with each fist in a quick rhythm.
4. Maintain a light wrist motion and steady breathing.","Drive hips back, keep chest tall and knees tracking over toes",5,"Obesity / Overweight, Osteoarthritis",Rotator cuff weakness / instability,
Reclined Butterfly,40-59,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,60-90,8-7,30-45 sec,Enhances hand eye coordination and shoulder endurance,"1. Lie on your back with knees bent and soles together.
2. Hold your feet or shins and draw your heels toward your groin.
3. Let your knees fall open and use gravity to gently press them toward the floor.",Keep shoulders relaxed and control the circular motion from the wrists,4,,Hip stiffness / limited hip mobility,
Heel Walking,All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,2,12-8,7-6,30-45 sec,Promotes hip and groin flexibility and relaxation,"1. Stand tall and lift your toes off the floor so you balance on your heels.
2. Take controlled short steps forward while keeping toes elevated.
3. Maintain an upright posture and continue for the desired distance or time.",Draw the belly toward the spine and keep the lower back gently on the mat,6,,Ankle instability / recurrent sprains,Main workout
Curtsy Lunge (Shallow),40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Strengthens shin muscles and improves ankle dorsiflexion,"1. Stand tall with feet hip-width apart and hands on your hips.
2. Step one foot diagonally back and behind the other foot while bending both knees slightly.
3. Lower your back knee a few inches toward the floor while keeping your torso upright.
4. Press through the front foot to return to standing and switch sides.",Keep toes pointed up and maintain an upright posture,3.3,,Knee pain (general / chronic),Main workout
Toe Taps (Step),60+,Weight Loss,Cardio,Lower,Bodyweight,Beginner,3,12-10,8-7,60-90 sec,Improves lateral hip stability and glute engagement,"1. Stand facing a low step with feet hip-width apart.
2. Lift one foot and tap the center of the step with your toes.
3. Lower that foot back to the floor with control.
4. Alternate feet at a steady, controlled pace.",Keep front knee aligned over the ankle and torso upright,3,,Limited single-leg balance,
Active Ankle Dorsiflexion,All Ages,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-20,8-7,30-45 sec,Improves coordination and activates hip flexors and core,"1. Sit or stand with weight supported and feet flat on the floor.
2. Pull your toes and the top of your foot upward toward your shin using only your ankle muscles.
3. Hold the top position briefly, then slowly relax and repeat.",Control each tap with a steady tempo and keep hips level,3,,Ankle pain,
Seated Hamstring Stretch (Unilateral),40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Enhances ankle mobility and neuromuscular control,"1. Sit on the floor with one leg extended and the other foot placed against the inner thigh.
2. Hinge forward at the hips and reach toward the toes of the extended leg with a long spine.
3. Hold the position while breathing steadily.",Pull toes toward the shin with controlled movement and keep the ankle steady,2,,Lower back pain (non-specific),Cooldown
Toe Walking,60+,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,2,12-10,7-6,30-60 sec,Lengthens hamstring muscles and improves posterior chain flexibility,"1. Stand tall with feet hip-width apart and shoulders relaxed.
2. Rise onto the balls of your feet and take small, controlled steps forward.
3. Keep your core engaged and land softly on the toes each step.",Keep the spine long and hinge at the hips to reach toward the shin,4,,Ankle instability / recurrent sprains,Main workout
Quadruped Arm Lifts,All Ages,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Strengthens calf muscles and enhances balance during gait,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Brace your core and extend one arm straight forward to shoulder height.
3. Keep hips and shoulders square and avoid rotating your torso.
4. Lower the arm back with control and repeat on the other side.",Rise onto the balls of the feet with knees soft and maintain a tall chest,3.2,,Reduced core stability,
Standing Oblique Crunch,40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,3,12-8,8-6,30-45 sec,Enhances spinal stability and shoulder control,"1. Place feet hip-width apart and hands behind your head.
2. Shift weight onto one leg and lift the opposite knee toward the same-side elbow while crunching your oblique.
3. Lower the leg and return to standing with control.
4. Repeat on the other side and alternate for desired reps.",Keep hips level and core braced as you lift the arm,2.5,,Limited single-leg balance,Main workout
