,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
26,Lateral Step-Overs,60+,Weight Maintenance,Mobility,Lower,Bodyweight,Intermediate,Ankle pain,3,12–15,7–8,60–90 sec,Develops lateral hip strength and dynamic balance during obstacle clearance,"1. Stand beside a low box or step and place one foot on top of it.
2. Step the trailing foot laterally over the box to the other side with control.
3. Step back the same way and repeat for the desired reps.
4. Switch sides and repeat the sequence.",Step deliberately with hips square and control the descent onto the obstacle,5
27,Prone Flutter Kicks,40–59,Weight loss,Strength,Core,Bodyweight,Intermediate,Ankle pain,3,20–30,7–8,45–60 sec,Strengthens lower abdominal endurance and hip flexor muscle coordination,"1. Lie face down with legs extended and hands under your forehead.
2. Lift both legs a few inches off the ground and alternate small, rapid up-and-down kicks.
3. Keep movements controlled and breathe steadily throughout.",Press your lower back into the mat and engage your core to prevent lumbar arching,4
28,Standing Side Leg Raises,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle pain,3,12–15,6–7,30–60 sec,Improves hip abductor strength and pelvic stability for better gait mechanics,"1. Stand tall and support yourself with one hand on a wall or chair.
2. Lift the outside leg straight out to the side to about hip height with a straight knee.
3. Lower the leg with control and repeat for the set, then switch sides.","Stand tall, keep hips stacked, and lift the leg with control without leaning",2.5
29,Skipping (Low Impact),40–59,Weight loss,Cardio,Full,Bodyweight,Intermediate,Ankle pain,3,60–90,7–8,60–90 sec,Enhances cardiovascular fitness and rhythmic coordination with reduced joint stress,"1. Stand tall and begin a light marching rhythm with an active knee drive.
2. Add a low-impact ankle flick and small arm swings as if turning a rope.
3. Maintain soft knees and land quietly through the balls of your feet.",Land softly through the midfoot with a slight knee bend and keep an upright torso,6
30,Kneeling Hip Flexor Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle pain,3,30–45,6–7,30–60 sec,Increases hip extension range and eases anterior hip tightness,"1. Kneel on one knee with the other foot planted forward and torso upright.
2. Tuck the pelvis and shift your hips forward until you feel a stretch in the front of the kneeling hip.
3. Hold the stretch while breathing evenly for the desired time.
4. Return to neutral and switch sides.",Maintain controlled movement and proper alignment throughout,2
31,Wide Stance Sumo Squat,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,7–8,60–90 sec,Builds lower body strength and hip stability,"1. Stand with feet wider than shoulder-width and toes turned out.
2. Engage your core and push hips back to lower into a squat until thighs are parallel or deeper.
3. Keep chest up and knees tracking over toes as you press through heels to rise.
4. Squeeze glutes at the top and reset for the next rep.","Keep chest up, core braced, and knees tracking over toes",4.5
32,Standing Knee-to-Chest,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle pain,2,8–12,6–7,30–45 sec,Enhances hip flexor mobility and challenges balance,"1. Stand tall and shift weight onto one leg.
2. Bend the opposite knee and pull it toward your chest with both hands.
3. Hold briefly, then lower the foot and repeat on the other side.","Stand tall, brace the core, and lift the knee with control",3
33,Child's Pose (Toes Tucked),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle pain,2,1–2,6–7,30–45 sec,Promotes spinal mobility and relaxation of the lower back,"1. Kneel and sit back on your heels with toes tucked under.
2. Hinge at the hips and lower your torso forward until your forehead rests on the mat.
3. Extend your arms forward or alongside your body and hold the position.",Breathe deeply and lengthen the spine while hips sink back toward heels,2
34,Tandem (Heel-to-Toe) Walk,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle pain,2,10–20,6–7,30–45 sec,Improves dynamic balance and gait coordination,"1. Stand tall and place one foot directly in front of the other so the heel touches the toe.
2. Take a slow step forward with the back foot and place it heel-to-toe in front.
3. Continue walking this way for distance while keeping eyes forward and arms relaxed.",Keep shoulders stacked over hips and take slow controlled steps,3
35,Speed Skaters,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,60–90 sec,Develops lateral power and cardiovascular conditioning,"1. Start in a slight squat with feet shoulder-width apart.
2. Leap laterally to the right, landing on the right foot while sweeping the left foot behind.
3. Drive the left arm forward and right arm back to mimic a skating motion.
4. Push off immediately and leap laterally to the left with the opposite pattern.",Land softly with bent knees and keep your torso stable,7
36,Box Step-Downs (Mid Height),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,7–8,60–90 sec,Enhances single leg control and knee stability,"1. Stand with one foot on a mid-height box and the other foot hovering off the edge.
2. Shift weight onto the box foot and slowly lower the hovering foot to the floor.
3. Tap the floor lightly while maintaining control and proper knee alignment.
4. Press through the box foot to return to the starting position and switch sides as needed.",Control the descent with a braced core and keep the knee aligned over the foot,4.5
37,Jump Squats,All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,6–10,8–9,90–120 sec,Increases lower body power and explosive strength,"1. Stand with feet shoulder-width apart and lower into a squat.
2. Explode upward into a jump while swinging your arms for momentum.
3. Land softly on the balls of your feet and sink immediately back into a squat.
4. Reset and repeat with controlled rhythm.",Explode upward and absorb the landing with hips and knees bent,8.5
38,Lateral Lunges (Deep),40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,8–10,7–8,60–90 sec,Improves lateral hip mobility and strengthens inner thigh muscles,"1. Stand tall with feet hip-width apart and take a wide step to the right.
2. Push hips back and bend the right knee while keeping the left leg straight.
3. Lower until the right thigh is parallel or deeper while keeping chest upright.
4. Drive through the right heel to return to center and perform the movement on the other side.","Push hips back, keep chest tall, and ensure the lead knee tracks over the foot",5
39,Burpees (Modified),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Ankle pain,3,8–12,7–8,60–90 sec,Improves whole body conditioning and aerobic endurance with reduced impact,"1. Stand tall, then squat and place your hands on the floor in front of you.
2. Step one foot back at a time into a plank position and hold briefly.
3. Step both feet forward toward your hands and rise halfway into a squat.
4. Stand up or perform a small reach instead of a jump and repeat.","Move deliberately, step or lower with control, and keep a neutral spine",6.5
40,Single-Leg Romanian Deadlift,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Ankle pain,3,8–10,7–8,60–90 sec,Strengthens posterior chain while improving single leg balance and control,"1. Stand on one leg with a slight knee bend and hinge forward at the hips.
2. Lower your torso while extending the free leg straight behind you for balance.
3. Reach your hands toward the standing foot while maintaining a flat back.
4. Drive hips forward to return to standing and switch legs after the set.",Hinge from the hips with a flat back and control the lowering on one leg,4
41,Plank Jacks,40–59,Weight loss,Cardio,Core,Bodyweight,Intermediate,Ankle pain,3,12–20,6–8,30–45 sec,Improves core stability and enhances cardiovascular engagement during dynamic movement,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Jump both feet out wide outside hip width while keeping hips level.
3. Jump both feet back together under your hips.
4. Repeat at a steady tempo while maintaining a neutral spine.",Keep core braced and hips level as you jump feet in and out,4.5
42,Curtsy Lunges,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Ankle pain,3,10–12,7–8,45–60 sec,Strengthens glutes and improves lateral hip stability,"1. Stand tall with feet hip-width and hands on hips.
2. Step one foot diagonally behind into a curtsy while bending both knees.
3. Push through the front heel to return to start and switch sides.","Keep chest tall and step back diagonally, lowering through the front heel",4
43,Bulgarian Split Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,7–9,60–90 sec,Builds unilateral leg strength and enhances balance,"1. Stand a couple feet in front of a bench and place the top of one foot on the bench behind you.
2. Lower your hips by bending the front knee until the front thigh is near parallel to the floor.
3. Keep the torso upright and the front knee tracking over the toes.
4. Push through the front heel to return to start and repeat before switching legs.",Keep front knee tracking over toes and maintain an upright torso,5.5
44,Frogger Jumps,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,45–60 sec,Enhances explosive lower body power and agility,"1. Start in a high plank with hands under shoulders and core engaged.
2. Jump both feet forward toward hands, landing lightly just behind the hands in a low squat.
3. Jump feet back to the plank position and repeat with a steady rhythm.",Land softly with knees bent and chest lifted to absorb impact,6
45,Cossack Squats,40–59,Weight Maintenance,Mobility,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,6–8,45–60 sec,Improves hip mobility and lateral strength,"1. Stand wide with feet wider than shoulder-width and toes slightly turned out.
2. Shift your weight to one leg and bend that knee while keeping the opposite leg straight and heel on the floor.
3. Sit hips back and lower as far as mobility allows while keeping torso upright.
4. Drive through the bent leg to return to center and repeat on the other side.",Sit back into the working hip with chest up and the other leg straight,4.5
46,Single-Leg Calf Raises,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,12–15,6–7,30–45 sec,Strengthens calf muscles and improves ankle stability,"1. Stand on one foot near a wall or stable surface for light touch support.
2. Raise your heel by pushing through the ball of the foot until fully on tiptoe.
3. Lower the heel back down with control and repeat before switching legs.",Keep torso upright and move slowly through full ankle range of motion,3
47,Side Plank (Feet Stacked),40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Ankle pain,3,20–30,6–7,30–45 sec,Enhances oblique strength and lateral core endurance,"1. Lie on one side and prop your body on the forearm with elbow under shoulder and feet stacked.
2. Lift hips to form a straight line from head to heels while engaging the core.
3. Hold the position, then lower the hips with control and switch sides.",Stack shoulders over hips and brace the core to keep a straight line,2.8
48,Sprints (Moderate),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,90–180 sec,Improves cardiovascular fitness and running speed,"1. Stand tall and take a few quick walking or jogging strides to prepare.
2. Accelerate to a controlled, brisk sprint for the chosen distance or time.
3. Maintain an upright posture, relaxed shoulders, and quick arm drive.
4. Decelerate gradually to a jog or walk to recover.","Maintain an upright posture, drive from the hips, and breathe rhythmically",10
49,Box Jumps (Low),40–59,Weight Maintenance,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,60–90 sec,Develops explosive leg power and improves coordination,"1. Stand facing a low, stable box with feet hip-width and knees slightly bent.
2. Bend hips and knees into a quick countermovement while swinging arms back.
3. Explode upward and land softly with both feet on the box in a quarter-squat.
4. Step down carefully and reset before the next jump.",Explode from the hips and land softly with knees aligned over toes,6.5
50,Spiderman Pushups,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Ankle pain,3,6–10,7–9,60–90 sec,Builds upper body strength while enhancing thoracic mobility,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Lower into a pushup while bringing one knee toward the elbow on the same side.
3. Push back up to plank while returning the leg and repeat on the other side.
4. Keep core engaged and maintain a steady, controlled tempo.",Keep a flat spine and draw the knee toward the elbow without letting hips sag,6
51,Squat Jacks,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,20–30,7–8,30–45 sec,Improves lower body strength and cardiovascular conditioning,"1. Start standing with feet together and knees soft.
2. Drop into a squat while jumping feet wide and arms out.
3. Jump feet back together and raise arms overhead.
4. Repeat the jump-squat cycle steadily.","Keep chest lifted, knees tracking over toes and land softly",6
52,Donkey Kicks (Explosive),40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,45–60 sec,Develops explosive hip power and glute strength,"1. Start on hands and knees with core braced.
2. Drive one heel up explosively toward the ceiling by extending the hip.
3. Control the descent to return the knee under the hip.
4. Repeat quickly and switch legs after the set.",Brace your core and extend the leg with control while keeping a neutral spine,5.5
53,High Knees (Running),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,30–60,8–9,30–45 sec,Boosts cardiovascular endurance and leg speed,"1. Start tall with feet hip-width and arms bent.
2. Drive one knee up toward waist height while pumping the opposite arm.
3. Alternate knees rapidly while maintaining an upright torso.",Drive knees up with an upright torso and relaxed shoulders,8
54,Butt Kicks (Running),All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Ankle pain,3,30–60,7–8,30–45 sec,Improves hamstring activation and running stride rhythm,"1. Start tall with feet hip-width and arms relaxed.
2. Jog in place while kicking each heel up toward the glutes.
3. Pump arms and alternate heels quickly with short, rhythmic steps.",Swing heels to glutes with a tall torso and soft knees,7
55,Zig-Zag Hops,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Advanced,Ankle pain,3,8–12,7–9,60–90 sec,Enhances lateral agility and proprioceptive balance,"1. Start at one side of a small marker or line.
2. Hop diagonally forward to the opposite side with both feet together.
3. Continue hopping in a zig-zag pattern while maintaining soft landings.",Maintain controlled movement and proper alignment throughout,7
56,Pike Pushups,40–59,Weight gain,Strength,Upper,Bodyweight,Intermediate,Ankle pain,3,6–10,7–9,60–90 sec,Builds shoulder pressing strength and core stability,"1. Start in a pike position with hips high and hands shoulder-width.
2. Bend elbows to lower the crown of your head toward the floor.
3. Push through your hands to extend the elbows and return to pike.
4. Repeat the lowering and pressing with controlled motion.","Keep hips high and lower with control, aligning shoulders over hands",5
57,Diagonal Lunges,40–59,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,7–8,60–90 sec,Improves multidirectional leg strength and hip mobility,"1. Start standing tall with feet hip-width.
2. Step forward and outward at a 45-degree angle into a lunge.
3. Lower until the front thigh is parallel to the ground.
4. Push through the front foot to return to start and switch legs.",Step diagonally with chest up and front knee tracking over the ankle,4.5
58,Standing Single-Leg Row,40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Intermediate,Ankle pain,3,8–12,7–8,60–90 sec,Enhances single leg balance and posterior chain stability,"1. Start standing on one leg with a slight knee bend.
2. Hinge at the hips and reach forward with the opposite hand toward a weight or ankle.
3. Pull the hand back by squeezing the shoulder blade to row the weight.
4. Return to standing and repeat, then switch legs.",Hinge from the hips with a flat back and keep the standing knee soft,3.5
59,Bicycle Crunches (Fast),All Ages,Weight loss,Strength,Core,Bodyweight,Intermediate,Ankle pain,3,30–60,7–8,30–45 sec,Increases core endurance and oblique coordination,"1. Start lying on your back with hands behind your head and knees bent.
2. Extend one leg while twisting the torso to bring the opposite elbow to the raised knee.
3. Alternate sides quickly in a continuous pedaling motion.",Brace the core and move with controlled tempo without pulling on the neck,5
60,Crab Walk,40–59,Weight Maintenance,Strength,Full,Bodyweight,Beginner,Ankle pain,3,20–40,6–7,30–60 sec,Improves full body coordination and posterior chain activation,"1. Start seated with hands behind you and feet flat.
2. Lift hips until the torso and thighs form a straight line.
3. Walk hands and feet backward while keeping hips elevated.
4. Reverse the movement to walk forward and repeat.",Keep hips lifted and shoulders stacked while taking smooth controlled steps,4
61,Single-Leg Bridge,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,8–12,6–7,45–60 sec,Enhances glute and hamstring strength and unilateral pelvic stability,"1. Lie on your back with one knee bent and the other leg extended.
2. Press through the heel of the bent leg and lift hips until your body forms a straight line.
3. Squeeze your glutes at the top and hold briefly.
4. Lower hips slowly and repeat on the other leg.",Squeeze the glute and keep hips level as you lift,3.5
62,Lateral Shuffles (Fast),40–59,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Ankle pain,3,20–30,7–8,30–60 sec,Improves lateral agility and quickness while engaging hip abductors,"1. Stand low with knees bent and feet shoulder-width apart.
2. Push off one foot and shuffle quickly to the side with short rapid steps.
3. Keep your chest up and stay low throughout the movement.
4. Reverse direction immediately and maintain the fast pace.","Take quick, controlled steps with an upright torso and soft knees",7
63,Skater Hops,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,60–90 sec,Develops lateral power and single-leg balance for dynamic movement,"1. Stand on one foot with a slight knee bend.
2. Push off laterally and land on the opposite foot while swinging your arms.
3. Absorb the landing with a soft knee bend.
4. Immediately explode to the other side and repeat.",Land softly with knees bent and chest lifted to control lateral momentum,6.5
64,Surfer Pop-ups,All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight,Intermediate,Ankle pain,3,10–15,6–7,45–60 sec,Enhances explosive transition strength and core coordination for quick position changes,"1. Lie face down with hands near your shoulders.
2. Push up explosively and bring one foot beneath your body.
3. Land in a low surfing stance and stabilize.",Pop up into a tall spine and absorb the motion with bent knees,5
65,Walking Lunge with Twist,40–59,Weight Maintenance,Mobility,Full,Bodyweight,Intermediate,Ankle pain,3,10–12,6–8,60–90 sec,Improves lower body strength and rotational core stability during gait-like movement,"1. Stand tall and step forward into a deep lunge.
2. Rotate your torso toward the front leg while keeping hips square.
3. Push through the front heel to stand and bring the back leg forward.
4. Continue walking forward and alternate legs each step.",Maintain controlled movement and proper alignment throughout,4.5
66,Mountain Climbers (Sprinting),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,20–30,8–9,30–45 sec,Boosts cardiovascular intensity while challenging core endurance and hip flexor speed,"1. Start in a high plank with hands under your shoulders.
2. Drive one knee toward your chest aggressively and switch legs quickly.
3. Maintain a tight core and a rapid sprinting pace.",Hold a strong plank with hips stable and drive knees under control,8
67,Broad Jumps (Soft),40–59,Weight Maintenance,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,90–120 sec,Builds horizontal power and hip extension while training landing control,"1. Stand with feet hip-width and hinge into a shallow squat.
2. Swing your arms and explode forward into a two-foot jump.
3. Land softly with bent knees and absorb the impact.","Swing the arms and land softly, absorbing through hips and knees with a tall chest",6
68,Pistol Squats,All Ages,Weight gain,Strength,Lower,Bodyweight,Advanced,Ankle pain,4,4–6,7–9,90–120 sec,Enhances single-leg strength mobility and balance under deep squat positions,"1. Stand tall and extend one leg forward while balancing on the other.
2. Sit back into a single-leg squat, keeping the extended leg straight.
3. Lower until the working thigh reaches or passes parallel.
4. Push through the heel to stand and control the ascent.","Sit back into the heel, keep the chest up and descend with controlled tempo",5.5
69,Tuck Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–10,8–9,60–90 sec,Increases vertical explosive power and improves lower limb coordination,"1. Stand with feet shoulder-width and bend your knees slightly.
2. Explode upward and tuck your knees toward your chest at the peak.
3. Land softly on both feet and reset immediately for the next rep.",Land softly with knees slightly bent and maintain a tight core to control rebound,7
70,Box Jumps (High),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,4,3–6,7–9,90–120 sec,Develops plyometric power and tests reactive strength with controlled landings,"1. Stand facing a sturdy box with feet hip-width apart.
2. Bend hips and knees and swing your arms to build momentum.
3. Explode upward and land both feet fully on the box with bent knees.
4. Step down carefully and reset for the next jump.",Explode up with both legs and land softly with hips and knees aligned,7.5
71,Jumping Split Lunges,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,8–10,6–8,60–90 sec,Improves unilateral leg power and balance,"1. Start in a lunge with one foot forward and one foot back.
2. Lower both knees into a deep lunge.
3. Explode upward and switch leg positions midair.
4. Land softly with bent knees and reset before the next rep.",Land softly with hips square and knee tracking over the toe,6.5
72,Depth Jumps,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,4–6,8–9,90–120 sec,Enhances reactive strength and explosive lower body power,"1. Stand on a low box with feet hip-width apart.
2. Step off and drop softly to the ground with knees slightly bent.
3. Immediately explode upward into a vertical jump and land quietly on bent knees.",Step off controlled and absorb the landing with knees bent and hips back,7
73,Single-Leg Box Jumps,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Advanced,Ankle pain,3,4–6,7–9,90–120 sec,Builds single-leg power and proprioception,"1. Stand on one foot facing a sturdy box.
2. Bend the standing knee and swing the arms back.
3. Explode upward and drive the free knee forward.
4. Land softly on the box on the same foot and step down carefully.",Explode with control and land on the midfoot with knee aligned over the toe,7.5
74,Triple Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,4–6,7–9,90–120 sec,Develops coordination and sequential lower limb explosiveness,"1. Start in an athletic run-up and plant the takeoff foot.
2. Perform a hop and land on the same foot with a bent knee.
3. Transition immediately into a step onto the opposite foot.
4. Drive into the final jump and land softly with both feet together.","Maintain an upright torso and control each phase, absorbing through hips and knees",7.5
75,Broad Jumps (Max Distance),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,5–8,8–9,90–120 sec,Increases horizontal power and hip drive,"1. Stand with feet hip-width and hinge slightly at the hips.
2. Swing the arms back and bend the knees deeply.
3. Explode forward into a strong two-footed jump.
4. Land with knees bent and chest up to absorb the impact.",Hinge explosively and land balanced with chest up and knees slightly bent,6.5
76,180-Degree Jump Squats,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,60–90 sec,Improves rotational power and multiplanar lower body strength,"1. Stand with feet shoulder-width and lower into a squat.
2. Explode upward and rotate your hips and feet 180 degrees in the air.
3. Spot the landing and return to a squat position as you land.
4. Reset and repeat facing the opposite direction.",Rotate through the hips and land softly with feet under the hips and chest up,7
77,Single-Leg Burpees,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,6–8,7–9,90–120 sec,Enhances full body conditioning and single-leg stability,"1. Balance on one leg and place both hands on the floor in front.
2. Kick the free leg back into a plank and perform one push-up.
3. Jump the foot forward under the chest and rise to stand on the same leg.
4. Explode upward into a single-leg jump and land softly on that leg.",Keep a braced core and neutral spine when lowering and exploding up on one leg,8
78,Power Skaters (Max Width),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,60–90 sec,Boosts lateral power and dynamic balance,"1. Start in a slight squat and push off one foot laterally.
2. Leap to the opposite side and land on that foot while swinging the other leg behind.
3. Reach the opposite hand toward the landing foot for balance.
4. Explode back laterally in the other direction to maximize width.",Maintain controlled movement and proper alignment throughout,7
79,Knee-to-Feet Jumps,40–59,Weight Maintenance,Strength,Full,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,60–90 sec,Trains rapid force production and lower limb elasticity,"1. Start kneeling on both knees with torso upright.
2. Swing the arms and explode upward to jump onto your feet.
3. Land softly on your feet and control the descent back to kneeling for the next rep.",Drive through the hips to stand and land softly with knees bent and chest upright,6
80,Double Unders (Jump Rope),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,30–60,6–7,30–60 sec,Improves cardiovascular endurance and coordination,"1. Hold the rope handles at hip height and stand with feet together.
2. Jump slightly higher than a normal jump and spin the rope twice under your feet.
3. Land softly on the balls of your feet and maintain a steady rhythm.","Jump on the forefoot with minimal height, soft knees, and a tall braced torso",10
81,Dragon Squats,All Ages,Weight gain,Mobility,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,8–9,90–150 sec,Improves single leg strength and hip mobility,"1. Stand with one foot forward and the other knee near the ground behind you.
2. Shift weight onto the front foot and hinge your hips back.
3. Lower your torso until the front thigh is near parallel to the floor.
4. Push through the front heel to return to standing.",Keep chest up and knee tracking over toes while controlling the descent,5
82,Shrimp Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,8–9,90–150 sec,Enhances quadriceps strength and single leg balance,"1. Stand on one leg and grab the opposite ankle behind you.
2. Bend the standing knee and hinge the hips back.
3. Lower your body until the standing knee approaches the floor.
4. Push through the standing heel to straighten and release the back foot.",Brace your core and sit back slightly to keep hips aligned and knee tracking,5
83,Airborne Lunges,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,8–12,7–8,60–90 sec,Builds lower body power and dynamic balance,"1. Stand tall and step one foot forward into a lunge.
2. Bend both knees and swing your arms for momentum.
3. Jump explosively and switch legs in midair.
4. Land softly in a lunge with the opposite foot forward.","Land softly with hips level and chest tall, absorbing force through the front leg",7.5
84,Sissy Squats (Extreme),40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,8–12,8–9,90–120 sec,Isolates quadriceps and improves knee flexion control,"1. Stand with feet hip-width and hold a stable support in front of you.
2. Rise onto your toes and lean your knees forward while keeping hips extended.
3. Lower your torso and allow your knees to travel forward over your toes.
4. Pull yourself back up by flexing the quads and return to standing on your toes.",Keep torso upright and control the range so knees track over toes without collapsing,4.5
85,Scissor Power Jumps,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Ankle pain,3,8–10,7–8,60–90 sec,Develops explosive lower body power and coordination,"1. Start in a split stance with one foot forward and one foot back.
2. Bend both knees and swing your arms down for momentum.
3. Jump explosively and switch leg positions midair.
4. Land softly in the opposite split stance and repeat.",Drive from the hips and land softly with knees bent and hips neutral,7
86,Single-Leg Hops (Distance),40–59,Weight Maintenance,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,90–120 sec,Increases unilateral leg power and proprioceptive stability,"1. Stand on one leg with a slight knee bend and hips square.
2. Swing your arms back and then forward to build momentum.
3. Hop forward as far as possible on the same leg.
4. Land softly with a bent knee and reset for the next hop.","Use hip and glute drive, land balanced with knee slightly bent and torso upright",7.5
87,Box Jump-Downs (Landing),All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Advanced,Ankle pain,3,6–8,6–7,60–90 sec,Improves eccentric control and safe landing mechanics,"1. Stand on a box or elevated platform with feet shoulder-width.
2. Step or jump off the box and drop with knees slightly bent.
3. Absorb the impact by bending hips and knees on landing.
4. Hold the landing briefly and step away to reset.","Step or drop with a soft controlled landing, absorbing impact through hips and knees",5
88,Handstand Walk,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Ankle pain,4,3–5,6–8,90–120 sec,Enhances shoulder stability core strength and spatial awareness,"1. Kick up into a stable handstand facing a clear space.
2. Shift weight onto one hand and press down to take a small step with the opposite hand.
3. Continue alternating hand steps while keeping a tight core and straight body.
4. Walk forward for the desired distance or return to a controlled descent.",Stack shoulders over wrists and keep core tight to prevent sagging,6.5
89,Wall Climbs,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Ankle pain,3,6–8,6–8,60–90 sec,Builds upper body coordination and core stability,"1. Start in a push-up position with feet near a wall.
2. Walk your feet up the wall while walking your hands closer to the wall.
3. Climb until your hips are over your shoulders and maintain a straight body.
4. Reverse the movement to walk back down to the starting position.",Maintain a neutral spine and core engagement while moving deliberately up the wall,6
90,Sprint Starts,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,6,1–2,8–9,180–300 sec,Improves explosive acceleration and quick reaction capability,"1. Assume a staggered stance with one foot slightly forward and hands on the ground.
2. Keep weight over the front foot and load the rear leg.
3. Explode forward by driving the rear leg and pumping the arms.
4. Accelerate into an upright sprint and lengthen your strides.",Maintain controlled movement and proper alignment throughout,9
91,Explosive Lateral Bounds,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Ankle pain,3,6–8,7–8,60–90 sec,Develops lateral power and reactive balance,"1. Stand on one foot with knees slightly bent and chest up.
2. Push off laterally through the ankle and hip into a powerful jump.
3. Land softly on the opposite foot with knees bent and absorb force.
4. Immediately explode back the other direction and repeat.",Land softly with knees tracking over toes and hips engaged,7.5
92,Hindu Squats (Fast),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Ankle pain,3,15–25,7–9,30–60 sec,Boosts cardiovascular endurance and lower body muscular stamina,"1. Stand feet shoulder-width with hands clasped at chest.
2. Drop hips back and bend knees in a fast, fluid motion while keeping chest up.
3. Swing arms down and back to add momentum and reach full depth.
4. Drive through heels to return upright and repeat rapidly.",Keep chest lifted and spine neutral while pacing your breath,7
93,Deck Squats,40–59,Weight gain,Mobility,Full,Bodyweight,Intermediate,Ankle pain,3,8–12,6–8,60–90 sec,Enhances hip mobility and posterior chain control,"1. Stand with feet hip-width and arms extended forward.
2. Sit back and lower your torso to the ground while rolling onto your upper back.
3. Press through your feet and use your core to sit back up to standing.",Maintain a braced core and smooth controlled lowering and rising,4
