Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Seated Arm + Core March,60+,Weight Loss,Cardio,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,15–20,7–8,60–90 sec,Combines arm movement with core engagement to enhance coordination and core activation,"1. Sit tall with feet flat and hands at shoulder height or extended forward.
2. Lift your right knee while reaching your left arm upward or forward.
3. Lower both the arm and knee with control back to the starting position.
4. Repeat the movement on the opposite side in a steady alternating pattern.",Keep ribs down and spine neutral while marching with controlled arm movement,2.7,None
Standing Reach & Return,40–59,Weight Maintenance,Cardio,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–12,6–7,30–45 sec,Improves spinal mobility and overhead reach,"1. Stand tall with feet hip-width apart and knees soft.
2. Reach both arms overhead until you feel a gentle stretch.
3. Hold briefly at the top.
4. Lower arms slowly to your sides and reset.",Keep core braced and spine neutral as you hinge and return,2,None
Arm Raise with Breathing,All Ages,Weight Gain,Cardio,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–10,6–7,30–45 sec,Promotes diaphragmatic breathing and shoulder mobility,"1. Sit or stand tall with arms at your sides.
2. Inhale and raise arms forward and up to shoulder height or overhead.
3. Exhale and lower arms slowly back to your sides.
4. Repeat the inhale-exhale rhythm with controlled movement.",Exhale as you lift your arms and avoid shrugging the shoulders,2.2,None
Seated Torso Rotation (Short Range),60+,Weight Maintenance,Cardio,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–8,30–60 sec,Enhances trunk rotation mobility and core control,"1. Sit upright with feet flat and hands on your thighs.
2. Rotate your torso gently to one side a short distance.
3. Return to center and repeat to the other side.",Rotate from the thoracic spine while keeping hips square and sitting tall,4,None
Standing Arm Circles,40–59,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–7,20–30 sec,Improves shoulder mobility and upper limb circulation,"1. Stand with feet shoulder-width apart and arms extended to the sides.
2. Make small controlled circles with your arms forward.
3. Reverse the direction and make controlled circles backward.
4. Keep your core engaged and shoulders relaxed.",Move with slow controlled circles and keep shoulders down away from the ears,2.4,None
Ankle Circles,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–7,15–30 sec,Improves ankle range of motion and balance,"1. Sit or stand with weight supported and one foot lifted slightly.
2. Rotate your ankle slowly in a circular motion clockwise.
3. Reverse the rotation counterclockwise and repeat on the other foot.",Support weight evenly and rotate the ankle smoothly without jerking,4,None
Seated Pelvic Tilts,60+,Weight Gain,Mobility,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–8,30–60 sec,Promotes lower back mobility and pelvic awareness,"1. Sit tall with feet flat and hands on your hips.
2. Tilt your pelvis forward to create a slight arch in the lower back.
3. Tilt your pelvis backward to flatten the lower back against the chair.
4. Move between the two positions with slow controlled motions.",Perform slow controlled pelvic tilts with abdominals engaged and lower back neutral,4,None
Standing Pelvic Neutral Drill,40–59,Weight Loss,Mobility,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–12,6–8,30–60 sec,Reinforces neutral spine alignment and core stability,"1. Stand with feet hip-width apart and knees soft.
2. Find a neutral pelvic position by gently tucking or lifting the pelvis.
3. Hold the neutral position briefly and repeat to reinforce alignment.",Find and hold a neutral pelvis by engaging the core and avoiding excessive sway,2.6,None
Shoulder Rolls,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–7,15–30 sec,Improves shoulder mobility and scapular movement,"1. Sit or stand tall with arms relaxed at your sides.
2. Roll your shoulders up, back, and down in a smooth motion.
3. Reverse the direction and roll shoulders forward.",Roll the shoulders slowly through full range while keeping the neck long,4,None
Neck Retraction Drill,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–10,6–7,20–30 sec,Improves cervical posture and alignment,"1. Sit or stand tall with eyes forward and chin level.
2. Gently draw your head straight back, creating a soft double chin.
3. Hold the retracted position briefly while keeping the jaw relaxed.
4. Release forward and repeat the retraction with controlled motion.",Retract the head straight back with chin tucked and eyes level,4,None
Seated Spine Flex-Extend,All Ages,Weight Gain,Mobility,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–12,6–8,30–60 sec,Improves spinal mobility and coordinated breathing,"1. Sit tall with feet flat and hands on your thighs.
2. Round your upper back and tuck your chin to flex the spine.
3. Arch your upper back and lift your chest to extend the spine.
4. Move between flexion and extension with slow controlled breaths.",Move the spine segmentally with control and coordinate breathing each phase,2,None
Standing Calf Pump,40–59,Weight Loss,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,12–15,6–8,30–60 sec,Enhances calf blood circulation and ankle mobility,"1. Stand tall with feet hip-width apart and hands on hips.
2. Rise onto the balls of your feet as high as comfortable.
3. Lower heels back toward the floor with control.
4. Repeat the raising and lowering at a steady tempo.",Keep weight centered on the midfoot and pump with controlled ankle motion,2,None
Wrist Mobility Circles,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,6–7,15–30 sec,Increases wrist joint range of motion and functional hand movement,"1. Extend arms forward at shoulder height with palms facing down.
2. Make slow circular motions with both wrists in one direction.
3. Reverse the circle direction and continue with control.",Rotate the wrists slowly with forearm engaged to guide the movement,4,None
Breathing with Arm Sweep,All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,6–8,6–7,15–30 sec,Promotes diaphragmatic breathing and expands chest and shoulder mobility,"1. Stand tall with feet hip-width and arms relaxed at your sides.
2. Inhale deeply while sweeping both arms up overhead.
3. Exhale while lowering the arms back to your sides with control.",Exhale as you sweep the arms overhead and keep the ribs relaxed,2.8,None
Standing Hip Shift (Pain-Free),40–59,Weight Gain,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,8–10,6–7,30–45 sec,Improves lateral hip mobility and weight transfer during standing,"1. Stand with feet hip-width and knees soft.
2. Shift your hips gently to one side without twisting your torso.
3. Return to center and shift to the other side with smooth motion.",Shift only within a pain-free range while keeping the torso upright,2.2,None
Seated Hamstring Stretch,60+,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,3–5,6–7,30–60 sec,Increases hamstring flexibility and improves straight-leg reach,"1. Sit on the edge of a chair with one leg extended and heel on the floor.
2. Keep your back straight and hinge forward from the hips.
3. Reach toward the extended foot until a gentle stretch is felt.
4. Hold briefly, then switch legs and repeat.",Sit tall with a neutral spine and hinge from the hips to feel the stretch,4,None
Standing Calf Stretch,40–59,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,3–5,6–7,30–60 sec,Improves calf muscle flexibility and ankle dorsiflexion range,"1. Stand facing a wall and place your hands on it at shoulder height.
2. Step one foot back with the heel down and the back knee straight.
3. Lean into the wall until you feel a stretch in the back calf, then switch sides.",Keep the back heel down and hinge from the ankle with a tall spine,6,None
Neck Side Stretch,60+,Weight Maintenance,Flexibility/Stretching,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,3–5,6–7,15–30 sec,Increases lateral neck flexibility and helps maintain comfortable head alignment,"1. Sit or stand tall with shoulders relaxed.
2. Tilt your head toward one shoulder and place the same-side hand above the ear.
3. Apply gentle pressure and hold, then repeat on the other side.",Relax the shoulders and gently tilt the head without forcing the neck,5,None
Seated Spinal Lengthening,60+,Weight Loss,Flexibility/Stretching,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,3–5,6–7,30–45 sec,Encourages spinal mobility and supports improved upright sitting posture,"1. Sit upright with feet flat and hands resting on your thighs.
2. Inhale and lift through the crown of the head to create space between vertebrae.
3. Exhale and maintain the tall posture with relaxed shoulders.",Maintain controlled movement and proper alignment throughout,5,None
Supported Hip Flexor Stretch (Shallow),All Ages,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,20–30,6–7,30–60 sec,Increases hip flexor flexibility and anterior hip mobility,"1. Kneel with one knee on a pad and the other foot flat forward.
2. Place hands lightly on a chair or wall for support.
3. Gently shift hips forward a small distance until a shallow stretch is felt.
4. Keep torso upright and breathe steadily.",Maintain controlled movement and proper alignment throughout,4,None
Diaphragmatic Breathing,60+,Weight Maintenance,Flexibility/Stretching,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,6–10,6–7,15–30 sec,Enhances diaphragmatic breathing control and relaxation,"1. Sit or lie with your back supported and shoulders relaxed.
2. Place one hand on your chest and one hand on your belly.
3. Inhale slowly through the nose and feel the belly rise, then exhale slowly and feel it fall.",Breathe slowly into the belly and keep the shoulders relaxed,4,None
Full Body Reach Stretch,All Ages,Weight Loss,Flexibility/Stretching,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,8–12,6–7,30–60 sec,Improves spinal mobility and shoulder range of motion,"1. Stand tall with feet hip-width apart.
2. Inhale and reach both arms straight overhead, lengthening through the sides.
3. Hold the reach while keeping shoulders down, then lower the arms slowly.",Reach overhead while lengthening the spine and avoiding lower back overextension,2.5,None
Arm Cross Stretch,40–59,Weight Gain,Flexibility/Stretching,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,20–30,6–7,20–40 sec,Increases posterior shoulder flexibility and upper back mobility,"1. Stand or sit tall with shoulders relaxed.
2. Extend one arm across the chest at shoulder height.
3. Use the opposite hand to pull the arm closer while keeping the shoulder down.",Maintain controlled movement and proper alignment throughout,4,None
Tandem Stance Hold,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,20–30,6–8,30–60 sec,Enhances static balance and lower limb proprioception,"1. Stand with one foot directly in front of the other so the heel touches the toe.
2. Keep eyes forward and arms at your sides or on hips.
3. Hold the position while keeping weight steady and knees soft.",Stack the feet heel to toe with core engaged and eyes focused forward,2,"Hypertension, Coronary Artery Disease"
Single-Leg Stand (Support),40–59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,20–30,6–8,30–60 sec,Improves unilateral balance and ankle stability,"1. Stand next to a stable support and place one hand on it.
2. Shift weight onto the supporting leg and lift the other foot slightly off the ground.
3. Maintain an upright posture and lower the foot back down with control.",Keep the standing knee soft and hips level while lightly holding a stable support,4,Hypertension
Standing Core Stability Hold,All Ages,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,20–30,6–8,30–60 sec,Strengthens core engagement and upright postural control,"1. Stand with feet hip-width apart and knees slightly bent.
2. Draw the belly button gently toward the spine to engage the core.
3. Hold the engaged position while keeping a neutral spine and steady breath.",Brace the core lightly and prevent arching of the lower back,2,"Hypertension, Coronary Artery Disease"
Heel Raise Balance,All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,10–15,6–8,30–60 sec,Targets calf strength while improving ankle stability and balance,"1. Stand with feet hip-width apart and hands at your sides.
2. Rise slowly onto the balls of both feet until heels lift.
3. Hold briefly for balance, then lower the heels back down with control.",Rise through the balls of the feet with ankles aligned and control the descent,2.5,None
Weight Shift + Reach,40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,8–12,6–8,30–60 sec,Develops dynamic balance and coordinated weight transfer,"1. Stand with feet hip-width apart and arms relaxed.
2. Shift your weight onto one leg while keeping the supporting knee soft.
3. Reach the opposite arm forward or to the side while keeping balance.
4. Return to center and repeat on the other side.",Shift weight slowly into the supporting foot while keeping hips level as you reach,3,None
Seated Balance Reach,60+,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,8–12,6–7,30–60 sec,Enhances seated trunk control and functional reaching ability,"1. Sit on the front edge of a chair with a tall spine.
2. Lift one foot a few inches off the floor while keeping hips level.
3. Reach forward with the opposite arm while maintaining balance.
4. Return the foot to the floor and repeat on the other side.",Sit tall with a neutral spine and reach slowly without collapsing the chest,2,None
Wall-Supported March Hold,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,12,6–7,30–45 sec,Enhances standing balance and hip flexor endurance,"1. Stand facing a wall with hands lightly on the wall at chest height.
2. Shift weight onto one foot and lift the other knee to hip level.
3. Hold the position while keeping your core engaged and posture tall.
4. Lower the lifted foot and repeat on the other side.",Keep core braced and spine neutral against the wall,5,"Hypertension, Coronary Artery Disease"
Standing Arm Reach Balance,40–59,Weight Gain,Balance & Stability,Upper,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,10,6–8,30–60 sec,Improves dynamic balance and shoulder mobility,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Shift weight onto one leg and extend the opposite arm forward.
3. Reach the free arm overhead while keeping hips square.
4. Lower the arm and return to neutral, then repeat on the other side.",Extend arms while keeping hips level and a soft standing knee,5,Sarcopenia
Eyes-Closed Supported Stance,60+,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,10,6–7,30–45 sec,Challenges sensory balance and strengthens proprioceptive control,"1. Stand with feet hip-width apart and hands lightly on a chair or wall.
2. Close your eyes and shift weight evenly through both feet.
3. Hold steady while maintaining an upright posture and steady breathing.",Stand with weight evenly distributed through both feet and a slight knee bend,5,None
Standing Stability Hold,All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,3,12,6–8,45–60 sec,Builds ankle and core stability for controlled posture,"1. Stand with feet hip-width apart and knees soft.
2. Hinge slightly at the hips and extend your arms forward for balance.
3. Hold the position while keeping your core engaged and spine neutral.","Stand tall, engage your core, and minimize upper body sway",4,"Hypertension, Coronary Artery Disease"
Seated Knee Extensions,60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle Pain,3,12–15,6–8,30–60 sec,Strengthens quadriceps and enhances knee extension control,"1. Sit tall on a chair with feet flat and hands on the sides.
2. Extend one leg forward until it is straight and toes pointed up.
3. Hold the extended position briefly while squeezing the thigh.
4. Lower the leg back down and repeat with the other leg.",Sit tall with back supported and extend the knee slowly without locking it,5,None
Wall Push-Ups,All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Ankle Pain,3,10–12,7–8,60–90 sec,Strengthens chest shoulders and improves scapular stability,"1. Stand facing a wall with feet hip-width apart and hands on the wall at chest height.
2. Step one foot back so your body forms a straight line from head to heels.
3. Bend the elbows and lower your chest toward the wall.
4. Push back to the start position while keeping your core engaged.",Keep a straight line from head to hips and lower into the push with control,3.5,None
Seated Torso Twists,40-59,Weight Loss,Cardio,Core,Bodyweight,Beginner,Ankle Pain,3,12–15,6–7,30–45 sec,Increases trunk rotational mobility and engages core muscles,"1. Sit tall on a chair with feet flat and hands crossed over your chest.
2. Rotate your torso to one side using your core while keeping hips stable.
3. Return to center and rotate to the other side with controlled movement.",Rotate from the ribs with a tall spine and avoid slumping,2.5,None
Cat-Cow Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,30–45 sec,Promotes spinal mobility and gentle core activation,"1. Start on hands and knees with wrists under shoulders and knees under hips.
2. Inhale and lift your head and tailbone, allowing your belly to drop for cow.
3. Exhale and round your spine, tucking your chin and tailbone for cat.
4. Continue alternating smoothly with steady breaths.",Move slowly with the breath while keeping the neck aligned with the spine,4,None
Seated Marching,60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Ankle Pain,3,20,6–7,30–45 sec,Activates hip flexors and improves leg coordination,"1. Sit upright on a chair with feet flat and hands resting on your thighs.
2. Lift one knee toward your chest while keeping your torso still.
3. Lower the foot back to the floor and lift the other knee.
4. Continue alternating at a controlled pace.","Sit tall, brace your core, and lift each knee with controlled motion",3,None
Lying Glute Bridge,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,Ankle Pain,3,12–15,7–8,60–90 sec,Strengthens glutes and hips while promoting posterior chain stability,"1. Lie on your back with knees bent, feet flat hip-width apart, and arms at your sides.
2. Press through your heels and lift your hips until your body forms a straight line.
3. Squeeze your glutes at the top and hold briefly.
4. Lower your hips back down with control.","Drive through the heels, squeeze the glutes, and keep a neutral spine",3,None
Single Leg Balance (Seated),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,30–45 sec,Improves seated single leg balance and lower limb stability,"1. Sit tall on a chair with feet flat.
2. Lift one foot a few inches off the floor.
3. Hold the lifted position while keeping your core engaged.
4. Lower the foot back down with control.",Sit tall with hips level and core engaged,4,None
Floor Cobra,All Ages,Weight Gain,Mobility,Upper,Bodyweight,Beginner,Ankle Pain,3,10–15,6–7,30–60 sec,Promotes thoracic spine mobility and posterior shoulder activation,"1. Lie face down with legs extended and hands under shoulders.
2. Press hands into the floor and lift your chest while keeping hips down.
3. Squeeze shoulder blades and hold the lifted position.
4. Lower your torso back down with control.",Lift your chest using the upper back and keep the neck long,2,None
Dead Bug,40-59,Weight Loss,Strength,Core,Bodyweight,Beginner,Ankle Pain,3,8–12,6–8,30–60 sec,Enhances core stability and coordinated limb control,"1. Lie on your back with knees bent and arms extended toward the ceiling.
2. Slowly lower one arm overhead while extending the opposite leg toward the floor.
3. Return the arm and leg to the starting position.
4. Repeat on the other side with controlled movement.",Keep the lower back pressed to the floor and move slowly,2.8,None
Seated Hamstring Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle Pain,2,10–15,6–7,30–45 sec,Improves hamstring flexibility and hip range of motion,"1. Sit tall on the edge of a chair and extend one leg forward with the heel on the floor.
2. Keep the spine long and hinge forward from the hips toward the extended leg.
3. Reach toward the toes and hold the stretch without rounding the back.",Hinge from the hips with a long spine and avoid rounding the back,4,None
Air Punches (Seated),All Ages,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle Pain,3,20–30,6–7,30–45 sec,Boosts shoulder mobility and elevates heart rate for light conditioning,"1. Sit upright with feet flat and hands at chin level.
2. Extend one arm forward in a punch while keeping the other hand near your chin.
3. Quickly retract the punching arm and alternate to the other side.
4. Maintain a steady breathing rhythm and keep core engaged.",Brace your core and control the punches with smooth movements,2.8,None
Kneeling Plank,40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,Ankle Pain,3,20–30,7–9,60–90 sec,Builds core endurance and promotes spinal stability through loaded isometric hold,"1. Start on your hands or forearms with knees on the floor and shoulders over wrists.
2. Tuck your pelvis and lift your torso so your body forms a straight line from head to knees.
3. Hold the position while keeping the core braced and neck neutral.
4. Lower your hips back to the starting position slowly.",Keep shoulders stacked over wrists and maintain a straight spine,3,"Hypertension, Coronary Artery Disease"
Neck Rotations,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,30–45 sec,Enhances cervical mobility and improves neck range of motion,"1. Sit tall with shoulders relaxed and chin level.
2. Slowly turn your head to the right until you feel a gentle stretch.
3. Return the chin to center with control.
4. Repeat the rotation to the left side with the same tempo.",Rotate slowly keeping the chest lifted and shoulders relaxed,4,None
Side Lying Leg Lifts,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Ankle Pain,3,12–15,6–8,45–60 sec,Strengthens hip abductors and supports pelvic stability during movement,"1. Lie on your side with legs stacked and head supported by your arm.
2. Keep the top leg straight and foot flexed.
3. Lift the top leg upward while keeping hips stacked and core engaged.
4. Lower the leg with control back to the starting position.",Keep hips stacked and lift from the side of the hip without rotating the torso,3,None
Seated Overhead Reach,40-59,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle Pain,3,10–15,6–7,30–45 sec,Improves shoulder and thoracic mobility while encouraging upright trunk posture,"1. Sit tall with feet flat and hands resting at your sides.
2. Inhale and reach both arms overhead, extending through the fingertips.
3. Exhale and lower the arms back down with control.",Sit tall and reach without arching the lower back while breathing steadily,2,None
Bird-Dog,All Ages,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Ankle Pain,3,8–12,6–8,45–60 sec,Enhances core stability and improves contralateral coordination and balance,"1. Start on hands and knees with a neutral spine and shoulders over wrists.
2. Extend one arm forward and the opposite leg straight back at the same time.
3. Hold the extended position while keeping hips square and core engaged.
4. Return both hand and knee to the starting position and switch sides.",Extend opposite arm and leg while keeping hips level and core stable,3.5,None
Chair Squat (High),60+,Weight Gain,Strength,Full,Bodyweight,Beginner,Ankle Pain,3,10–15,7–8,60–90 sec,Strengthens lower body muscles and enhances sit to stand functional ability,"1. Stand tall with feet hip-width and a chair behind you.
2. Lower hips back and lightly touch the chair with control.
3. Press through the heels to stand fully upright.
4. Reset your stance and repeat the movement.",Sit back into the chair keeping knees behind toes and chest lifted,3.5,None
Lying Quad Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle Pain,2,20–30,6–7,15–30 sec,Increases quadriceps flexibility and supports comfortable knee range of motion,"1. Lie on your side with knees stacked and legs bent.
2. Reach back and grasp your top ankle and pull the heel toward your glute.
3. Hold the position, then release and switch sides.",Keep hips level and pelvis neutral while gently pulling the foot toward the glute,4,None
Seated Row (Motion),All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Ankle Pain,3,8–12,7–8,60–90 sec,Enhances upper back strength and promotes better shoulder blade control,"1. Sit upright with knees bent and feet planted.
2. Hold the band or handle with arms extended and palms facing.
3. Pull elbows back while squeezing the shoulder blades.
4. Extend the arms slowly to the starting position.",Retract shoulder blades and keep a tall spine while pulling through the elbows,3.5,None
Shadow Boxing (No Footwork),40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Ankle Pain,3,45–90,6–7,30–60 sec,Improves upper body endurance and hand eye coordination,"1. Stand with feet shoulder-width and knees soft.
2. Keep feet planted and hands up to guard your chin.
3. Throw slow, controlled jabs and crosses using torso rotation.
4. Return your hands to the guard after each combination.",Maintain controlled movement and proper alignment throughout,3.5,None
Wall Angels,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Ankle Pain,3,10–15,6–7,30–45 sec,Improves scapular mobility and supports upright posture awareness,"1. Stand with back and head against the wall and feet a few inches away.
2. Bend elbows to 90 degrees and press arms into the wall.
3. Slide arms up the wall while maintaining contact and posture.
4. Slide arms down with control to the starting position.",Keep lower back against the wall and move arms slowly with scapular control,2.5,None
Clamshells,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Ankle Pain,3,12–20,6–7,30–45 sec,Strengthens hip abductors to enhance lateral hip stability,"1. Lie on your side with hips stacked and knees bent to 90 degrees.
2. Keep feet together and lift the top knee toward the ceiling.
3. Lower the knee with control and repeat, then switch sides.",Keep hips stacked and control the movement from the glutes without rotating the pelvis,2,None
Seated Side Bends,40-59,Weight Loss,Mobility,Core,Bodyweight,Beginner,Ankle Pain,2,10–15,6–7,30–45 sec,Increases lateral trunk flexibility and engages core side muscles,"1. Sit tall at the edge of a chair with feet flat on the floor.
2. Place one hand on the thigh and reach the other arm overhead.
3. Bend laterally toward the grounded hand, then return upright and switch sides.",Maintain controlled movement and proper alignment throughout,2,None
Standing Hip Abduction (Holding Support),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Pain,3,12–15,6–7,30–60 sec,Activates outer hip muscles and contributes to balance during single side stance,"1. Stand tall with one hand lightly on a support and feet hip-width.
2. Keep the torso straight and lift the outside leg out to the side to hip level.
3. Lower the leg with control and repeat, then switch sides.","Hold support lightly, keep torso upright, and lift from the outer hip without leaning",4,None
Prone Y-Raises,All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,45–60 sec,Builds posterior shoulder endurance and improves upper back alignment,"1. Lie face down with arms extended overhead in a Y and thumbs up.
2. Keep the neck neutral and lift the arms off the ground using the upper back.
3. Pause at the top while squeezing the shoulder blades.
4. Lower the arms slowly back to the mat.","Keep neck long, lift the arms with scapular engagement, and avoid arching the lower back",2.8,None
Bicycle Crunches (Slow),40-59,Weight Loss,Cardio,Core,Bodyweight,Beginner,Ankle Pain,3,12–20,7–8,30–45 sec,Enhances abdominal endurance and promotes coordinated trunk rotation,"1. Lie on your back with hands behind your head and knees bent.
2. Lift head and shoulders and extend one leg while bringing the opposite elbow toward the flexed knee.
3. Rotate the torso and switch sides in a slow, controlled motion.
4. Continue alternating with deliberate, steady movements.","Keep lower back pressed to the mat, move slowly, and breathe steadily through each twist",3,None
Seated Piriformis Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle Pain,2,30–60,6–7,15–30 sec,Improves hip external rotation and gluteal flexibility,"1. Sit tall on a chair with feet flat and knees at 90 degrees.
2. Cross the right ankle over the left knee and keep the spine long.
3. Lean forward from the hips until you feel a stretch in the outer hip.
4. Hold the position and then switch sides.",Keep spine tall and hinge at the hips to avoid rounding,4,None
Doorway Chest Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle Pain,2,20–40,6–7,15–30 sec,Opens the chest and enhances shoulder mobility,"1. Stand in a doorway and place forearms on each side of the frame at shoulder height.
2. Step one foot forward and keep the torso upright.
3. Gently lean forward until you feel a stretch across the chest.
4. Hold the stretch and then step back to release.",Anchor shoulder blades down and gently open the chest without shrugging,4,None
"Modified Jacks (No Jump, Arm Only)",40-59,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle Pain,3,15–20,6–7,30–45 sec,Raises heart rate gently while increasing shoulder and arm mobility,"1. Stand with feet hip-width apart and arms at your sides.
2. Raise both arms out to the sides and overhead until palms meet.
3. Lower the arms back to your sides with control and repeat.",Control arm movement and keep shoulders relaxed away from ears,3,None
Knee-to-Chest (Lying),60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,15–30 sec,Gently lengthens the lower back and increases hip flexibility,"1. Lie on your back with legs extended and arms by your sides.
2. Bend the right knee and draw it toward your chest using both hands behind the thigh.
3. Keep the left leg relaxed on the floor and hold the stretch.
4. Lower the right leg and repeat on the other side.",Maintain controlled movement and proper alignment throughout,4,None
Side Plank (Knees),All Ages,Weight Gain,Strength,Core,Bodyweight,Beginner,Ankle Pain,3,20–30,7–8,45–60 sec,Builds lateral core strength and improves trunk stability,"1. Lie on your side with knees bent and forearm on the floor under your shoulder.
2. Press into the forearm and lift your hips to form a straight line from shoulders to knees.
3. Keep the top hand on your hip or reach it toward the ceiling.
4. Hold the position and then lower with control.",Stack hips over knees and shoulders and press through the supporting knee for alignment,2.8,"Hypertension, Coronary Artery Disease"
Seated Leg Slides,40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle Pain,3,10–15,6–7,30–45 sec,Improves hip mobility and leg movement coordination,"1. Sit tall on the edge of a chair or mat with feet flat on the floor.
2. Slide one heel forward along the floor until the leg is nearly straight.
3. Pull the heel back to the start and repeat with the other leg.",Engage your core and slide the leg slowly without letting the pelvis tilt,4,None
Arm Circles,60+,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Ankle Pain,2,20–30,6–7,15–30 sec,Increases shoulder range of motion and upper body circulation,"1. Stand or sit tall with arms extended straight out to the sides at shoulder height.
2. Make small controlled circles forward with both arms.
3. Continue for the desired time or repetitions.
4. Reverse the direction and circle backward with the same control.",Maintain a neutral spine and perform controlled small circles without flaring the ribs,2.5,None
