Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Butterfly Stretch (Seated),60+,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Ankle Pain,3,8–12,7–8,60–90 sec,Builds triceps and shoulder strength for upper body pushing movements,"1. Sit on a chair or the floor with hands beside your hips and fingers forward.
2. Slide your hips off the edge and extend your legs as desired.
3. Bend your elbows to lower your hips toward the floor.
4. Push through your palms to straighten your arms and lift your hips.","Keep shoulders down and back, lowering with controlled range of motion",3.8,,Cooldown
Tricep Dips (Floor/Chair),All Ages,Weight Loss,Strength,Upper,Bodyweight,Beginner,Ankle Pain,2,10–20,6–7,15–30 sec,Improves shoulder mobility and scapular coordination,"1. Sit tall with arms extended straight in front at chest height.
2. Cross one arm over the other in a controlled motion.
3. Open the arms back out and alternate which arm crosses on each rep.","Sit tall, draw shoulder blades down and move the arms with control",2.8,,
Seated Arm Scissor,40-59,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle Pain,3,10–15,6–8,30–60 sec,Activates glutes and enhances hip extension strength and pelvic stability,"1. Start on hands and knees with a neutral spine.
2. Brace your core and bend one knee to 90 degrees.
3. Drive your heel up toward the ceiling by extending the hip.
4. Lower the knee back toward the starting position with control.",Maintain controlled movement and proper alignment throughout,3,,
Quadruped Hip Extension,60+,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,Ankle Pain,2,10–15,6–7,15–30 sec,Improves trunk rotational mobility and control,"1. Stand with feet hip-width apart and hands on your hips or across your chest.
2. Rotate your torso to one side while keeping your hips facing forward.
3. Rotate back through center and repeat to the opposite side.","Keep hips facing forward, soften the knees and rotate from the thoracic spine",4,,
Standing Trunk Rotation,All Ages,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,Ankle Pain,3,8–12,6–8,45–60 sec,Combines upper body strength work with thoracic mobility and core engagement,"1. Begin in a high plank with hands beneath your shoulders.
2. Bend your elbows and lower your chest toward the floor into a push-up.
3. Press back through your hands and lift your hips to sit back into child pose.
4. Return hands to the floor and come back into plank to repeat.","Maintain a neutral spine and move with control, breathing as you transition into child pose",3.5,,Warmup 
Push-Up to Child Pose,40-59,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle Pain,3,10–15,6–8,30–60 sec,Strengthens hip flexors and improves lower abdominal control,"1. Lie on your back with one leg straight and the other bent with foot flat.
2. Keep the straight leg active and point the toes upward.
3. Lift the straight leg to about hip level with control.
4. Lower the leg slowly back to the starting position.",Maintain controlled movement and proper alignment throughout,2,,
Straight Leg Raise (Lying),60+,Weight Loss,Strength,Core,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,15–30 sec,Enhances spinal mobility and promotes posture awareness,"1. Sit tall with hands on your knees and feet flat on the floor.
2. Inhale and arch your spine, lift your chest, and look slightly upward.
3. Exhale and round your spine, tuck your chin, and draw your belly in.",Articulate the spine slowly and coordinate each flexion and extension with your breath,4,,
Seated Cat-Cow,All Ages,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,Ankle Pain,2,8–12,6–7,15–30 sec,Increases thoracic rotation mobility and improves upper back movement,"1. Kneel on hands and knees with a neutral spine.
2. Place one hand behind your head and keep the elbow wide.
3. Rotate your chest toward the ceiling, opening the thoracic spine.
4. Return the elbow toward the floor and switch sides after the set.",Keep hips stable and rotate through the thoracic spine while keeping the neck aligned,2.2,,
T-Spine Rotation (Kneeling),40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle Pain,3,12–20,6–8,45–60 sec,Enhances core and shoulder endurance while promoting coordinated lower body movement,"1. Place hands shoulder-width on an elevated surface and step back into a straight plank.
2. Slowly draw one knee toward your chest while keeping hips level.
3. Return that foot to the starting plank and draw the opposite knee forward.
4. Move deliberately and keep the spine neutral throughout.",Keep core braced and hips level while driving knees slowly toward chest,5,"Hypertension, Coronary Artery Disease, COPD, Metabolic Syndrome, Hyperthyroidism",
Incline Mountain Climbers (Slow),60+,Weight Gain,Activation/Mobility,Full,Bodyweight,Beginner,Ankle Pain,2,20–30,6–7,30–60 sec,Increases thoracic mobility and chest flexibility,"1. Stand tall and wrap both arms around your torso as if hugging yourself.
2. Pull your shoulders forward and hold the gentle stretch across the chest.
3. Release and repeat as needed.",Relax shoulders down away from the ears and breathe deeply into the ribcage,2,,
Bear Hug Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle Pain,3,8–12,6–7,60–90 sec,Improves single leg stability and balance with minimal joint stress,"1. Stand with one hand lightly on a stable support and step one foot back into a shallow lunge.
2. Bend both knees slightly so the front knee stays over the ankle.
3. Keep your torso upright and hips square to the front.
4. Hold the position and then switch legs if desired.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease",Cooldown
"Static Lunge (Supported, Shallow)",40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle Pain,3,12–15,7–8,45–60 sec,Strengthens lower abdominal muscles and hip flexor control,"1. Lie on your back with hands by your sides and knees bent over hips.
2. Exhale and curl your hips upward, lifting your tailbone off the floor.
3. Pause at the top while keeping abs engaged.
4. Lower your hips and return to the start with control.",Use slow controlled movement and tuck the pelvis to lift with the lower abs,3,,
Reverse Crunch,60+,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–60 sec,Enhances standing balance and proprioception using external support,"1. Stand beside a wall and place one hand lightly on it for balance.
2. Place one foot directly in front of the other so the heel touches the toe of the back foot.
3. Hold the straight posture and shift weight slowly onto the front foot.",Maintain controlled movement and proper alignment throughout,4,,
Tandem Stance (Wall Support),All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–8,45–60 sec,Builds upper body strength and improves scapular stability,"1. Stand facing a wall and place hands shoulder-width on the wall at chest height.
2. Step back so your body forms a straight line from head to heels.
3. Bend your elbows to bring your chest toward the wall.
4. Push back to the starting position with control.",Maintain controlled movement and proper alignment throughout,4,,
Seated Boxing,All Ages,Weight Maintenance,Cardio,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–60 sec,Increases ankle dorsiflexion range and supports functional movement patterns,"1. Stand facing a wall and place your foot a few inches from the base with heel on the floor.
2. Keep the heel down and bend your knee forward toward the wall.
3. Touch the knee to the wall or move as far as mobility allows without lifting the heel.
4. Return the knee to the start and repeat for the other side.",Drive the knee toward the wall while keeping the heel down and the foot planted,2.3,,
Knee-to-Wall Ankle Mobilization,40-59,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,12–15,7–8,60–90 sec,Activates glute muscles and promotes hip extension strength and pelvic stability,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Press through your heels and lift your hips until your body forms a straight line from shoulders to knees.
3. Squeeze your glutes at the top and avoid overextending the lower back.
4. Lower your hips slowly back to the ground.","Press through the heels, lift by squeezing the glutes, and avoid overextending the lower back",4,,
Glute Bridges (Two Legs),All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10 sec,6–7,30–60 sec,Increases posterior thigh flexibility and improves range of motion,"1. Sit on the floor with one leg extended and the other bent inward.
2. Flex the foot of the extended leg and keep the spine long.
3. Hinge at the hips and reach toward the toes without rounding the back.
4. Hold for 20–30 seconds while breathing evenly.",Keep spine long and hinge from the hips rather than rounding the back,2,,
Step-Out Jacks (No Jump),40-59,Weight Gain,Cardio,Full,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–45 sec,Enhances balance and ankle stability through weight distribution practice,"1. Stand beside a chair and place one hand lightly on the back for support.
2. Shift weight into the supporting leg and lift the other foot slightly off the floor.
3. Keep hips level and engage the core to maintain balance.
4. Hold for the target time, then switch sides.",Stand tall with hips level and lightly hold support for balance,4,,
Single Leg Stand (Assisted),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–45 sec,Improves thoracic mobility and promotes better spinal rotation patterns,"1. Lie on your side with knees bent and arms extended forward, palms together.
2. Keep hips stacked and lift the top arm, rotating the chest upward toward the ceiling.
3. Follow the moving hand with your eyes and rotate until you feel a gentle turn.
4. Lower the arm back to the start and repeat for the other side.",Keep hips stacked and rotate through the upper back without shrugging the shoulder,2,,
T-Spine Rotation (Side Lying),60+,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,12–20,7–8,45–60 sec,Strengthens core muscles and supports improved posture and trunk control,"1. Start on hands or forearms and knees with body in a straight line from head to knees.
2. Engage the core and press hips level without sagging or lifting.
3. Hold the position while breathing steadily for the desired duration.",Brace the core and maintain a straight line from knees to head,3,"Hypertension, Coronary Artery Disease",
Modified Plank (Knees),40-59,Weight Loss,Strength,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–45 sec,Activates glute muscles and enhances hip extension strength for daily activities,"1. Stand tall facing a support and place one or both hands lightly on it for balance.
2. Keeping the knee straight, lift one leg backward by squeezing the glute.
3. Lower the leg with control and repeat, then switch sides.",Keep pelvis neutral and squeeze the glute to lift without arching the lower back,4,,
Standing Hip Extension (Supported),All Ages,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10 sec,6–7,30–60 sec,Increases chest flexibility and reduces shoulder rounding from prolonged sitting,"1. Stand in a doorway and place one forearm on the frame at shoulder height.
2. Step forward with the foot on the same side and lean your chest through the doorway.
3. Keep the shoulder down and hold the stretch, then switch sides.",Keep shoulders down and press the chest forward gently without shrugging,2,,
Doorway Pectoral Stretch,60+,Weight Loss,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,30–40,7–8,30–45 sec,Raises heart rate moderately while improving hip flexor control and gait pattern,"1. Stand tall and march by lifting one knee toward hip height while keeping the opposite foot on the floor.
2. Pump the opposite arm as the knee rises and maintain an upright posture.
3. Lower the foot with control and continue alternating at a steady slow pace.","Stand tall, lift knees with control and keep a steady breath",3.5,,Cooldown
High Knees March (Slow),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,15–20,6–8,30–60 sec,Strengthens inner thigh muscles and promotes pelvic stability during seated positions,"1. Sit upright on a chair with a small pillow or ball between your knees.
2. Press your knees together to squeeze the pillow using inner thigh muscles.
3. Hold the squeeze briefly, then release with control and repeat.","Sit tall, brace the core and squeeze with the inner thighs",2.5,"Hypertension, Coronary Artery Disease",
Seated Knee Pillow Squeeze,All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–45 sec,Enhances coordinated core stability and improves controlled limb movement patterns,"1. Lie on your back with knees bent at 90 degrees and arms extended toward the ceiling.
2. Engage the core and press the lower back into the floor.
3. Slowly lower one arm overhead while extending the opposite leg toward the floor.
4. Return to the start and repeat on the other side with controlled movement.",Maintain controlled movement and proper alignment throughout,3.5,,
Heel-to-Toe Walk (Assisted),All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,7–8,60–90 sec,Builds upper body strength and improves pushing ability,"1. Sit on the edge of a sturdy chair and place hands beside hips with fingers pointing forward.
2. Slide hips off the chair and lower the body by bending elbows to about 90 degrees.
3. Push through palms to straighten arms and lift hips back to the starting position.",Lower until elbows are about 90 degrees keeping shoulders down and chest open,3.5,,
Seated Arm Circles (Fast),60+,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,30–60,7–8,30–45 sec,Boosts shoulder mobility and increases circulation to the arms,"1. Sit tall with arms extended to the sides at shoulder height.
2. Rotate both arms quickly in small circles forward for the desired count.
3. Reverse the direction and continue fast circles while keeping the core engaged.",Keep shoulders down and spine tall while controlling the arm circles,2.8,,
Bear Plank (Knees Hover),60+,Weight Loss,Strength,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,7–8,60–90 sec,Activates core muscles while enhancing shoulder stability and body control,"1. Start on hands and knees and lift knees a few inches off the ground while keeping hips level.
2. Align hands under shoulders and gaze slightly forward.
3. Hold the body in a straight line from head to knees while engaging the core.
4. Breathe steadily and maintain the hover for the set time.",Maintain a flat back and braced core avoiding sagging or piking hips,3.5,"Hypertension, Coronary Artery Disease",
Standing Calf Raises (Double Leg),40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,12–20,7–8,45–60 sec,Strengthens calf muscles and improves ankle stability for better balance,"1. Stand with feet hip-width apart and hands lightly touching a support.
2. Push through the balls of both feet to raise the heels as high as possible.
3. Lower the heels back down with control and repeat.",Rise through the balls of the feet with controlled movement and a tall posture,3,,
Neck Tilts,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,2,8–12,6–7,15–30 sec,Improves neck flexibility and reduces muscular tightness,"1. Sit or stand tall with shoulders relaxed and chin parallel to the floor.
2. Tilt the head slowly toward one shoulder until a gentle stretch is felt.
3. Return to center and repeat toward the other shoulder with controlled movement.",Move the neck slowly within a pain-free range while keeping shoulders relaxed,4,,Warmup 
Side Lying Leg Abduction,60+,Weight Loss,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,12–15,6–7,30–60 sec,Targets outer hip muscles and enhances lateral leg strength,"1. Lie on your side with the lower arm supporting the head and legs stacked straight.
2. Lift the top leg upward while keeping it straight and the hips stacked.
3. Lower the leg with control back to the starting position and repeat then switch sides.",Keep hips stacked and core engaged while lifting the top leg with control,2.8,,
Stork Stance (Holding Chair),40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–60 sec,Enhances single-leg balance and ankle stability,"1. Stand tall next to a chair and place one hand on the back for support.
2. Shift weight onto one foot and lift the other foot slightly off the ground.
3. Hold the raised position while keeping hips level and core engaged.
4. Lower the lifted foot back down with control and repeat on the other side.",Keep hips level and core engaged while maintaining a steady gaze,4,,
Cobra Stretch,60+,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–45 sec,Promotes spinal extension and chest mobility,"1. Lie face down with hands near chest and elbows close to sides.
2. Press palms into the floor and slowly lift chest using the back muscles.
3. Keep shoulders down and hold the lifted position before lowering with control.",Keep pelvis grounded and lift chest using the midback while drawing shoulders down,2,,Cooldown
Prone I-Y-T Raises,40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–8,45–60 sec,Strengthens upper back and shoulder stabilizers,"1. Lie face down with arms extended overhead for the I position and forehead on the floor.
2. Lift both arms straight up into the I, squeezing shoulder blades, then lower with control.
3. Move arms into a Y shape and lift the arms, then lower with control.
4. Bring arms out to the sides in a T shape and lift, then lower with control.",Keep neck long and lift through the scapula with slow controlled movements,3,,
Isometric Wall Sit (High),All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,30–45,7–9,60–120 sec,Develops quadriceps endurance and lower body stability,"1. Stand with back against a wall and slide down until thighs are slightly above parallel.
2. Keep knees soft and weight through the heels while pressing back into the wall.
3. Hold the position for the desired time while maintaining steady breathing.",Maintain controlled movement and proper alignment throughout,4.5,"Hypertension, Coronary Artery Disease",
Pelvic Tilts (Lying),40-59,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–45 sec,Enhances lower back mobility and core engagement,"1. Lie on your back with knees bent and feet flat on the floor.
2. Flatten the lower back into the floor by tilting the pelvis upward and tightening the core.
3. Hold briefly and then return the pelvis to a neutral position with control.",Maintain controlled movement and proper alignment throughout,4,,
Standing Tricep Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–7,30–45 sec,Increases triceps flexibility and shoulder range of motion,"1. Stand tall and reach one arm overhead bending the elbow to touch the upper back.
2. Use the opposite hand to gently pull the elbow toward the head.
3. Hold the stretch while keeping the chest open and then switch arms.",Keep spine long and shoulders relaxed while gently drawing the elbow toward the head,4,,Cooldown
Quarter Squat (Holding Support),60+,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–8,45–60 sec,Builds knee-friendly leg strength and functional standing control,"1. Stand facing a stable support and hold it lightly with one or both hands.
2. Bend the knees slightly and sink into a shallow quarter squat keeping weight in the heels.
3. Keep the chest upright and core engaged during the descent.
4. Push through the heels to return to standing with control.",Maintain controlled movement and proper alignment throughout,2,,
Modified Side Plank (Knees),40-59,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–30,6–8,45–60 sec,Improves core lateral stability and shoulder support capacity,"1. Lie on one side with knees bent and prop the torso up on the forearm beneath the shoulder.
2. Stack hips and knees and lift the hips off the floor into a straight line from shoulder to knees.
3. Keep the top hand on the hip or extended for balance and hold the position.
4. Lower the hips with control and repeat on the other side.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease",
Wall Slides (Scapular),All Ages,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–60 sec,Improves scapular mobility and shoulder blade control,"1. Stand with your back and hips against a wall and feet a few inches away.
2. Place your forearms and hands flat on the wall with elbows bent at 90°.
3. Slide your arms upward along the wall while keeping contact with the wall.
4. Lower your arms back to the start with control.",Keep ribs down and draw shoulder blades together as you slide,3,,
Seated Torso Twist (Active),60+,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–60 sec,Enhances spinal mobility and trunk rotational control,"1. Sit tall on a chair or mat with feet planted and hands behind your head or crossed over your chest.
2. Rotate your torso to one side using your core while keeping your hips facing forward.
3. Return to center with control and repeat to the other side.",Keep spine tall and rotate from the mid back,2.2,,
Lying Heel Slides,40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–60 sec,Promotes hip and knee mobility during lower limb movement,"1. Lie on your back with both legs straight and arms at your sides.
2. Bend one knee and slide your heel toward your glutes while keeping the foot on the surface.
3. Straighten the leg by sliding the heel away until fully extended and repeat on the other side.",Maintain controlled movement and proper alignment throughout,2,,
Clock Reach (Small Range),All Ages,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,Ankle instability / recurrent sprains,2,8–12,6–7,30–60 sec,Improves shoulder range of motion and proprioceptive awareness,"1. Stand or sit tall with one arm at shoulder height and elbow slightly bent.
2. Visualize a small clock face in front of your hand.
3. Reach your hand slowly to nearby ""hours"" within a small range.
4. Return to center with control between each reach.",Maintain a neutral spine and reach from the shoulder without shrugging,4,,
Pike Push-Up (Wall/Incline),40-59,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,6–10,7–8,60–90 sec,Develops shoulder and upper chest strength with reduced shoulder loading compared to floor push-ups,"1. Place your hands on a wall or elevated surface and walk your feet back until your hips form an inverted V.
2. Tighten your core and keep your gaze between your hands.
3. Bend your elbows and lower your head toward your hands with control.
4. Push through your hands to straighten your arms and return to the start.",Keep head in line with the spine and lower with controlled shoulder strength,4.5,Hypertension,
Shadow Boxing (Stationary),All Ages,Weight Gain,Cardio,Full,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,20–40,6–8,30–60 sec,Improves aerobic conditioning coordination and timing,"1. Stand in a shoulder-width stance with one foot slightly forward and hands in guard.
2. Throw controlled jabs, crosses, and hooks while keeping your guard up.
3. Rotate your hips slightly with each punch and maintain a steady rhythm.",Maintain a stable stance and breathe steadily while controlling your punches,5,,
Seated Hip Internal Rotation,40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,6–7,30–60 sec,Increases hip internal rotation mobility and functional leg positioning,"1. Sit tall with one knee bent at 90° and the foot flat on the floor.
2. Keep your thigh stable and rotate your lower leg and foot outward so the knee turns inward.
3. Return to neutral with control and repeat on the other side.",Keep the thigh level and rotate from the hip while keeping the pelvis steady,4,,
Standing Forward Fold (Gentle),All Ages,Weight Gain,Flexibility / Stretching,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,2,6–8,6–7,30–60 sec,Encourages hamstring lengthening and gentle spinal elongation with relaxation,"1. Stand with feet hip-width apart and knees softly bent.
2. Hinge at your hips and fold forward while maintaining a long spine.
3. Relax your neck and let your torso hang with gentle breathing.",Maintain controlled movement and proper alignment throughout,4,,
Stationary Lunges (Supported),60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,7–8,60–90 sec,Enhances lower body strength and single leg balance,"1. Stand tall facing forward and hold a chair or wall for support.
2. Step one foot back and lower your hips until both knees are bent at about 90 degrees.
3. Press through the front heel to straighten the front leg.
4. Return to standing and repeat on the other leg.","Keep chest up, core braced, and front knee aligned over the ankle",3,,
Quadruped Rocking,40-59,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–45 sec,Promotes hip mobility and spinal alignment,"1. Kneel on hands and knees with shoulders over wrists and hips over knees.
2. Rock hips back toward your heels while keeping a neutral spine.
3. Rock forward until hips pass knees and return to the starting position.",Maintain a neutral spine and move slowly from the hips,2,,
Standing Side Leg Raise,All Ages,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,10–15,6–7,30–45 sec,Strengthens hip abductors and improves lateral stability,"1. Stand tall with hands on hips or holding a support.
2. Lift one leg straight out to the side keeping the toes facing forward and the knee straight.
3. Lower the leg slowly back to start and repeat on the other side.",Keep the standing hip stable and lift the leg with controlled motion,2.5,,
Pallof Press (Isometric/Hand),60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,Ankle instability / recurrent sprains,3,8–12,7–8,45–60 sec,Develops core anti-rotation stability and torso control,"1. Anchor a resistance band at chest height and stand sideways a few steps away.
2. Grasp the band with both hands at your chest and step to create tension.
3. Press your hands straight out from your chest and hold against the band's pull.
4. Slowly bring your hands back to your chest and repeat on the other side.",Brace your core and resist rotation as you press away from your body,3,"Hypertension, Coronary Artery Disease",
Seated Leg Extensions,60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,10–15,7–8,60–90 sec,Targets quadriceps strength and knee extension control,"1. Sit upright in a chair with feet flat and hands resting on the sides.
2. Extend one leg forward until it is straight and your knee is unlocked.
3. Lower the leg back down with control and repeat with the other leg.","Sit tall, brace your core, and extend the knee with controlled motion",2,,
Wall Calf Stretch (Straight Leg),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,30–60,6–7,30–60 sec,Increases calf flexibility and ankle dorsiflexion range,"1. Stand facing a wall and place both hands on it at shoulder height.
2. Step one foot back keeping that leg straight and the heel pressed into the floor.
3. Lean into the wall until you feel a stretch in the back calf, then switch legs.",Keep the back heel down and spine long while leaning into the stretch,4,,Cooldown
Glute Bridges,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,10–15,7–8,60–90 sec,Strengthens glutes and posterior chain for improved hip extension,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Press through your heels to lift your hips until your body forms a straight line from shoulders to knees.
3. Lower your hips back down with control and repeat.","Press through the heels, squeeze the glutes, and avoid overextending the lower back",3,,
Lying Leg Crossovers,60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,8–12,6–8,30–60 sec,Increases hip rotational mobility and stretches lower back,"1. Lie on your back with knees bent and arms out to the sides.
2. Lower both knees together toward the right side until they hover or touch the floor.
3. Return to center and lower the knees to the left side.",Keep both shoulders on the floor and control the crossover with your obliques,2.5,,
Seated Knee Tucks,40-59,Weight Loss,Strength,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,10–15,7–8,30–60 sec,Strengthens lower abdominal muscles and improves hip flexor control,"1. Sit on the edge of a chair with hands gripping the sides and feet flat.
2. Lean back slightly and pull both knees toward your chest.
3. Extend your legs forward until almost straight and repeat.",Maintain controlled movement and proper alignment throughout,3,,
Tandem Stance (Holding Support),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–30,6–7,30–60 sec,Enhances single leg balance and proprioceptive awareness,"1. Stand beside a stable surface and place one hand lightly on it for support.
2. Place one foot directly in front of the other so the heel of the front foot touches the toes of the back foot.
3. Engage your core and hold the stance, then switch the leading foot.",Stack hips and shoulders while holding support and fix a steady gaze for balance,4,"Hypertension, Coronary Artery Disease",
Wall Soleus Stretch (Bent Knee),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),2,20–30,6–7,30–60 sec,Targets calf soleus flexibility and ankle dorsiflexion,"1. Stand facing a wall and place your hands on it at shoulder height.
2. Step one foot back and bend both knees while keeping the back heel down.
3. Lean into the wall to feel the stretch in the lower calf, then switch legs.",Maintain controlled movement and proper alignment throughout,2,,Cooldown
Chair Squat,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,8–12,7–9,60–90 sec,Builds lower body strength and functional sit to stand ability,"1. Stand in front of a chair with feet hip-width and toes slightly turned out.
2. Push your hips back and bend your knees to lower until your butt lightly taps the chair.
3. Keep weight in your heels and chest lifted.
4. Push through your heels to stand tall and repeat.","Push hips back, keep knees tracking over toes, and maintain a neutral spine",3.5,,
Thoracic Spine Rotation (Kneeling),40-59,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,8–12,6–7,15–30 sec,Improves thoracic mobility and enhances trunk rotational range,"1. Kneel with hips over knees and place one hand behind your head and the other hand on the floor.
2. Rotate your torso toward the side with the lifted elbow, opening the chest upward.
3. Return the elbow toward the floor with control.
4. Repeat the rotation for the desired reps then switch sides.","Square the hips, rotate through the mid back and keep the lower spine stable",2,,
Quadruped Hover (Static),All Ages,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,20–40,7–8,45–60 sec,Challenges core endurance and promotes neutral spine stabilization,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Tuck your toes and lift the knees slightly off the floor to create a hover position.
3. Hold the hover while keeping a straight line from head to tail and steady breathing.",Maintain a neutral spine and brace the core to prevent sagging or arching,3,"Hypertension, Coronary Artery Disease",
Seated Tricep Dips,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Foot pain (plantar fasciitis / heel pain),3,8–12,7–8,60–90 sec,Targets triceps strength and improves elbow extension control,"1. Sit on the edge of a stable chair and place hands beside your hips with fingers pointing forward.
2. Slide your hips forward off the chair and extend your legs in front with heels on the floor.
3. Bend your elbows to lower hips toward the floor while keeping shoulders down.
4. Push through your palms to straighten your arms and lift your hips back to the start.",Maintain controlled movement and proper alignment throughout,2.5,,
